start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2017-01-03,2017-01-03,VNE,2700,7.33,59988.1254
2017-01-03,2017-01-04,VNE,2700,7.3,59907.1254
2017-01-04,2017-01-04,VNE,2700,7.3,59988.174
2017-01-03,2017-01-05,VNE,2700,7.35,60042.1254
2017-01-04,2017-01-05,VNE,2700,7.35,60123.174
2017-01-05,2017-01-05,VNE,2700,7.35,59988.093
2017-01-03,2017-01-06,VNE,2700,7.24,59745.1254
2017-01-04,2017-01-06,VNE,2700,7.24,59826.174
2017-01-05,2017-01-06,VNE,2700,7.24,59691.093
2017-01-06,2017-01-06,VNE,2700,7.24,59988.2712
2017-01-03,2017-01-09,VNE,2700,7.43,60258.1254
2017-01-04,2017-01-09,VNE,2700,7.43,60339.174
2017-01-05,2017-01-09,VNE,2700,7.43,60204.093
2017-01-06,2017-01-09,VNE,2700,7.43,60501.2712
2017-01-09,2017-01-09,VNE,2600,7.43,59988.4092
2017-01-03,2017-01-10,VNE,2700,7.45,60312.1254
2017-01-04,2017-01-10,VNE,2700,7.45,60393.174
2017-01-05,2017-01-10,VNE,2700,7.45,60258.093
2017-01-06,2017-01-10,VNE,2700,7.45,60555.2712
2017-01-09,2017-01-10,VNE,2600,7.45,60040.4092
2017-01-10,2017-01-10,VNE,2600,7.45,59988.378
2017-01-03,2017-01-11,VNE,2700,7.78,61203.1254
2017-01-04,2017-01-11,VNE,2700,7.78,61284.174
2017-01-05,2017-01-11,VNE,2700,7.78,61149.093
2017-01-06,2017-01-11,VNE,2700,7.78,61446.2712
2017-01-09,2017-01-11,VNE,2600,7.78,60898.4092
2017-01-10,2017-01-11,VNE,2600,7.78,60846.378
2017-01-11,2017-01-11,VNE,2500,7.78,59988.33
2017-01-03,2017-01-12,VNE,2700,7.9,61527.1254
2017-01-04,2017-01-12,VNE,2700,7.9,61608.174
2017-01-05,2017-01-12,VNE,2700,7.9,61473.093
2017-01-06,2017-01-12,VNE,2700,7.9,61770.2712
2017-01-09,2017-01-12,VNE,2600,7.9,61210.4092
2017-01-10,2017-01-12,VNE,2600,7.9,61158.378
2017-01-11,2017-01-12,VNE,2500,7.9,60288.33
2017-01-12,2017-01-12,VNE,2500,7.9,59988.15
2017-01-03,2017-01-13,VNE,2700,7.85,61392.1254
2017-01-04,2017-01-13,VNE,2700,7.85,61473.174
2017-01-05,2017-01-13,VNE,2700,7.85,61338.093
2017-01-06,2017-01-13,VNE,2700,7.85,61635.2712
2017-01-09,2017-01-13,VNE,2600,7.85,61080.4092
2017-01-10,2017-01-13,VNE,2600,7.85,61028.378
2017-01-11,2017-01-13,VNE,2500,7.85,60163.33
2017-01-12,2017-01-13,VNE,2500,7.85,59863.15
2017-01-13,2017-01-13,VNE,2500,7.85,59988.225
2017-01-16,2017-01-16,GMD,700,28.55,59988.009
2017-01-03,2017-01-16,VNE,2700,7.89,61500.1254
2017-01-04,2017-01-16,VNE,2700,7.89,61581.174
2017-01-05,2017-01-16,VNE,2700,7.89,61446.093
2017-01-06,2017-01-16,VNE,2700,7.89,61743.2712
2017-01-09,2017-01-16,VNE,2600,7.89,61184.4092
2017-01-10,2017-01-16,VNE,2600,7.89,61132.378
2017-01-11,2017-01-16,VNE,2500,7.89,60263.33
2017-01-12,2017-01-16,VNE,2500,7.89,59963.15
2017-01-13,2017-01-16,VNE,2500,7.89,60088.225
2017-01-16,2017-01-16,VNE,2500,7.89,59976.174
2017-01-16,2017-01-17,GMD,700,28.5,59941.174
2017-01-03,2017-01-17,VNE,2700,7.89,61500.1254
2017-01-04,2017-01-17,VNE,2700,7.89,61581.174
2017-01-05,2017-01-17,VNE,2700,7.89,61446.093
2017-01-06,2017-01-17,VNE,2700,7.89,61743.2712
2017-01-09,2017-01-17,VNE,2600,7.89,61184.4092
2017-01-10,2017-01-17,VNE,2600,7.89,61132.378
2017-01-11,2017-01-17,VNE,2500,7.89,60263.33
2017-01-12,2017-01-17,VNE,2500,7.89,59963.15
2017-01-13,2017-01-17,VNE,2500,7.89,60088.225
2017-01-16,2017-01-17,VNE,2500,7.89,59941.174
2017-01-17,2017-01-17,VNE,2500,7.89,59988.165
2017-01-16,2017-01-18,GMD,700,28.3,59801.174
2017-01-03,2017-01-18,VNE,2700,7.75,61122.1254
2017-01-04,2017-01-18,VNE,2700,7.75,61203.174
2017-01-05,2017-01-18,VNE,2700,7.75,61068.093
2017-01-06,2017-01-18,VNE,2700,7.75,61365.2712
2017-01-09,2017-01-18,VNE,2600,7.75,60820.4092
2017-01-10,2017-01-18,VNE,2600,7.75,60768.378
2017-01-11,2017-01-18,VNE,2500,7.75,59913.33
2017-01-12,2017-01-18,VNE,2500,7.75,59613.15
2017-01-13,2017-01-18,VNE,2500,7.75,59738.225
2017-01-16,2017-01-18,VNE,2500,7.75,59451.174
2017-01-17,2017-01-18,VNE,2500,7.75,59638.165
2017-01-18,2017-01-18,VNE,2500,7.75,59988.375
2017-01-16,2017-01-19,GMD,700,28.0,59241.174
2017-01-03,2017-01-19,VNE,2700,7.7,60987.1254
2017-01-04,2017-01-19,VNE,2700,7.7,61068.174
2017-01-05,2017-01-19,VNE,2700,7.7,60933.093
2017-01-06,2017-01-19,VNE,2700,7.7,61230.2712
2017-01-09,2017-01-19,VNE,2600,7.7,60690.4092
2017-01-10,2017-01-19,VNE,2600,7.7,60638.378
2017-01-11,2017-01-19,VNE,2500,7.7,59788.33
2017-01-12,2017-01-19,VNE,2500,7.7,59488.15
2017-01-13,2017-01-19,VNE,2500,7.7,59613.225
2017-01-16,2017-01-19,VNE,2500,7.7,59116.174
2017-01-17,2017-01-19,VNE,2500,7.7,59513.165
2017-01-18,2017-01-19,VNE,2500,7.7,59863.375
2017-01-19,2017-01-19,VNE,2500,7.7,59988.45
2017-01-16,2017-01-20,GMD,700,27.9,59046.174
2017-01-03,2017-01-20,VNE,2700,7.66,60879.1254
2017-01-04,2017-01-20,VNE,2700,7.66,60960.174
2017-01-05,2017-01-20,VNE,2700,7.66,60825.093
2017-01-06,2017-01-20,VNE,2700,7.66,61122.2712
2017-01-09,2017-01-20,VNE,2600,7.66,60586.4092
2017-01-10,2017-01-20,VNE,2600,7.66,60534.378
2017-01-11,2017-01-20,VNE,2500,7.66,59688.33
2017-01-12,2017-01-20,VNE,2500,7.66,59388.15
2017-01-13,2017-01-20,VNE,2500,7.66,59513.225
2017-01-16,2017-01-20,VNE,2500,7.66,58946.174
2017-01-17,2017-01-20,VNE,2500,7.66,59413.165
2017-01-18,2017-01-20,VNE,2500,7.66,59763.375
2017-01-19,2017-01-20,VNE,2500,7.66,59888.45
2017-01-20,2017-01-20,VNE,2600,7.66,59988.0504
2017-01-16,2017-01-23,GMD,700,27.8,58876.174
2017-01-03,2017-01-23,VNE,2700,7.7,60987.1254
2017-01-04,2017-01-23,VNE,2700,7.7,61068.174
2017-01-05,2017-01-23,VNE,2700,7.7,60933.093
2017-01-06,2017-01-23,VNE,2700,7.7,61230.2712
2017-01-09,2017-01-23,VNE,2600,7.7,60690.4092
2017-01-10,2017-01-23,VNE,2600,7.7,60638.378
2017-01-11,2017-01-23,VNE,2500,7.7,59788.33
2017-01-12,2017-01-23,VNE,2500,7.7,59488.15
2017-01-13,2017-01-23,VNE,2500,7.7,59613.225
2017-01-16,2017-01-23,VNE,2500,7.7,58976.174
2017-01-17,2017-01-23,VNE,2500,7.7,59513.165
2017-01-18,2017-01-23,VNE,2500,7.7,59863.375
2017-01-19,2017-01-23,VNE,2500,7.7,59988.45
2017-01-20,2017-01-23,VNE,2600,7.7,60092.0504
2017-01-23,2017-01-23,VNE,2500,7.7,59988.45
2017-01-16,2017-01-24,GMD,700,27.8,58976.174
2017-01-03,2017-01-24,VNE,2700,7.93,61608.1254
2017-01-04,2017-01-24,VNE,2700,7.93,61689.174
2017-01-05,2017-01-24,VNE,2700,7.93,61554.093
2017-01-06,2017-01-24,VNE,2700,7.93,61851.2712
2017-01-09,2017-01-24,VNE,2600,7.93,61288.4092
2017-01-10,2017-01-24,VNE,2600,7.93,61236.378
2017-01-11,2017-01-24,VNE,2500,7.93,60363.33
2017-01-12,2017-01-24,VNE,2500,7.93,60063.15
2017-01-13,2017-01-24,VNE,2500,7.93,60188.225
2017-01-16,2017-01-24,VNE,2500,7.93,59551.174
2017-01-17,2017-01-24,VNE,2500,7.93,60088.165
2017-01-18,2017-01-24,VNE,2500,7.93,60438.375
2017-01-19,2017-01-24,VNE,2500,7.93,60563.45
2017-01-20,2017-01-24,VNE,2600,7.93,60690.0504
2017-01-23,2017-01-24,VNE,2500,7.93,60563.45
2017-01-24,2017-01-24,VNE,2500,7.93,59988.105
2017-01-16,2017-01-25,GMD,700,28.3,59901.174
2017-01-03,2017-01-25,VNE,2700,7.94,61635.1254
2017-01-04,2017-01-25,VNE,2700,7.94,61716.174
2017-01-05,2017-01-25,VNE,2700,7.94,61581.093
2017-01-06,2017-01-25,VNE,2700,7.94,61878.2712
2017-01-09,2017-01-25,VNE,2600,7.94,61314.4092
2017-01-10,2017-01-25,VNE,2600,7.94,61262.378
2017-01-11,2017-01-25,VNE,2500,7.94,60388.33
2017-01-12,2017-01-25,VNE,2500,7.94,60088.15
2017-01-13,2017-01-25,VNE,2500,7.94,60213.225
2017-01-16,2017-01-25,VNE,2500,7.94,59926.174
2017-01-17,2017-01-25,VNE,2500,7.94,60113.165
2017-01-18,2017-01-25,VNE,2500,7.94,60463.375
2017-01-19,2017-01-25,VNE,2500,7.94,60588.45
2017-01-20,2017-01-25,VNE,2600,7.94,60716.0504
2017-01-23,2017-01-25,VNE,2500,7.94,60588.45
2017-01-24,2017-01-25,VNE,2500,7.94,60013.105
2017-01-25,2017-01-25,VNE,2500,7.94,59988.09
2017-01-16,2017-02-02,GMD,700,28.15,59821.174
2017-01-03,2017-02-02,VNE,2700,7.95,61662.1254
2017-01-04,2017-02-02,VNE,2700,7.95,61743.174
2017-01-05,2017-02-02,VNE,2700,7.95,61608.093
2017-01-06,2017-02-02,VNE,2700,7.95,61905.2712
2017-01-09,2017-02-02,VNE,2600,7.95,61340.4092
2017-01-10,2017-02-02,VNE,2600,7.95,61288.378
2017-01-11,2017-02-02,VNE,2500,7.95,60413.33
2017-01-12,2017-02-02,VNE,2500,7.95,60113.15
2017-01-13,2017-02-02,VNE,2500,7.95,60238.225
2017-01-16,2017-02-02,VNE,2500,7.95,59846.174
2017-01-17,2017-02-02,VNE,2500,7.95,60138.165
2017-01-18,2017-02-02,VNE,2500,7.95,60488.375
2017-01-19,2017-02-02,VNE,2500,7.95,60613.45
2017-01-20,2017-02-02,VNE,2600,7.95,60742.0504
2017-01-23,2017-02-02,VNE,2500,7.95,60613.45
2017-01-24,2017-02-02,VNE,2500,7.95,60038.105
2017-01-25,2017-02-02,VNE,2500,7.95,60013.09
2017-02-02,2017-02-02,VNE,2500,7.95,59988.075
2017-01-16,2017-02-03,GMD,700,28.0,59741.174
2017-02-03,2017-02-03,ITD,700,25.35,59989.353
2017-01-03,2017-02-03,VNE,2700,7.95,61662.1254
2017-01-04,2017-02-03,VNE,2700,7.95,61743.174
2017-01-05,2017-02-03,VNE,2700,7.95,61608.093
2017-01-06,2017-02-03,VNE,2700,7.95,61905.2712
2017-01-09,2017-02-03,VNE,2600,7.95,61340.4092
2017-01-10,2017-02-03,VNE,2600,7.95,61288.378
2017-01-11,2017-02-03,VNE,2500,7.95,60413.33
2017-01-12,2017-02-03,VNE,2500,7.95,60113.15
2017-01-13,2017-02-03,VNE,2500,7.95,60238.225
