date,tickersymbol
2017-01-03,VNE
2017-01-03,VRC
2017-01-04,VNE
2017-01-04,VRC
2017-01-04,SHI
2017-01-05,VNE
2017-01-05,VRC
2017-01-06,VNE
2017-01-06,VRC
2017-01-06,DCL
2017-01-09,DCL
2017-01-09,ITD
2017-01-09,VNE
2017-01-10,DCL
2017-01-10,ITD
2017-01-10,VNE
2017-01-11,ITD
2017-01-11,VNE
2017-01-11,DCL
2017-01-12,VNE
2017-01-12,ITD
2017-01-12,VRC
2017-01-13,VNE
2017-01-13,ITD
2017-01-13,DCL
2017-01-16,VNE
2017-01-16,DCL
2017-01-16,GMD
2017-01-17,VNE
2017-01-18,VNE
2017-01-18,TTB
2017-01-18,DHG
2017-01-19,VNE
2017-01-19,TTB
2017-01-19,DHG
2017-01-20,TTB
2017-01-20,VNE
2017-01-20,HHG
2017-01-23,TTB
2017-01-23,VNE
2017-01-24,VNE
2017-01-24,TTB
2017-01-25,VNE
2017-01-25,TTB
2017-01-25,OGC
2017-02-02,VNE
2017-02-02,LDG
2017-02-02,SSN
2017-02-03,LDG
2017-02-03,VNE
2017-02-03,SSN
2017-02-06,LDG
2017-02-06,VNE
2017-02-06,TVC
2017-02-07,VNE
2017-02-07,TVC
2017-02-07,CSV
2017-02-08,ITD
2017-02-08,LDG
2017-02-08,HHG
2017-02-09,LCG
2017-02-09,LDG
2017-02-09,HHG
2017-02-10,LCG
2017-02-10,LDG
2017-02-10,HHG
2017-02-13,LDG
2017-02-13,HHG
2017-02-13,LCG
2017-02-14,BCC
2017-02-14,LCG
2017-02-14,LDG
2017-02-15,BCC
2017-02-15,VNE
2017-02-15,LCG
2017-02-16,HHG
2017-02-16,PTB
2017-02-16,DCL
2017-02-17,BCC
2017-02-17,LCG
2017-02-17,HHG
2017-02-20,LCG
2017-02-20,HKB
2017-02-20,PTB
2017-02-21,ITD
2017-02-21,DCL
2017-02-21,HHG
2017-02-22,HHG
2017-02-22,ITD
2017-02-22,TDH
2017-02-23,TDH
2017-02-23,ITD
2017-02-23,BCC
2017-02-24,TDH
2017-02-24,HHG
2017-02-24,ITD
2017-02-27,PGS
2017-02-27,HHG
2017-02-27,ITD
2017-02-28,ITD
2017-02-28,HHG
2017-02-28,ITC
2017-03-01,ITD
2017-03-01,HHG
2017-03-01,ITC
2017-03-02,ITD
2017-03-02,HHG
2017-03-02,ITC
2017-03-03,APC
2017-03-03,ITD
2017-03-03,HHG
2017-03-06,HHG
2017-03-06,ITD
2017-03-06,ITC
2017-03-07,HHG
2017-03-07,ITD
2017-03-07,VNE
2017-03-08,HHG
2017-03-08,ITD
2017-03-08,SLS
2017-03-09,APC
2017-03-09,SLS
2017-03-09,HDG
2017-03-10,SLS
2017-03-10,ITC
2017-03-10,NDN
2017-03-13,APC
2017-03-13,NLG
2017-03-13,SLS
2017-03-14,HHG
2017-03-14,SLS
2017-03-14,TDC
2017-03-15,SLS
2017-03-15,TDC
2017-03-15,IDV
2017-03-16,ITC
2017-03-16,TDC
2017-03-16,IDV
2017-03-17,HHG
2017-03-17,SZL
2017-03-17,IDV
2017-03-20,HHG
2017-03-20,SZL
2017-03-20,L14
2017-03-21,ITC
2017-03-21,HHG
2017-03-21,TDC
2017-03-22,ITC
2017-03-22,NTC
2017-03-22,HHG
2017-03-23,HHG
2017-03-23,ITC
2017-03-23,TDC
2017-03-24,ITC
2017-03-24,TDC
2017-03-24,DMC
2017-03-27,LDG
2017-03-27,ITC
2017-03-27,DMC
2017-03-28,DMC
2017-03-28,LDG
2017-03-28,ITC
2017-03-29,LDG
2017-03-29,ITC
2017-03-29,IDV
2017-03-30,ITC
2017-03-30,LDG
2017-03-30,IDV
2017-03-31,ITC
2017-03-31,IMP
2017-03-31,LDG
2017-04-03,ITC
2017-04-03,IMP
2017-04-03,LDG
2017-04-04,ITC
2017-04-04,LDG
2017-04-04,IMP
2017-04-05,DHT
2017-04-05,BMC
2017-04-05,IMP
2017-04-07,BMC
2017-04-07,DHT
2017-04-07,IMP
2017-04-10,BMC
2017-04-10,DHT
2017-04-10,PPI
2017-04-11,BMC
2017-04-11,DHT
2017-04-11,IMP
2017-04-12,DHT
2017-04-12,BMC
2017-04-12,PPI
2017-04-13,DHT
2017-04-13,BMC
2017-04-13,ITC
2017-04-14,DHT
2017-04-14,SJS
2017-04-14,BMC
2017-04-17,DHT
2017-04-17,BMC
2017-04-17,SJS
2017-04-18,DHT
2017-04-18,BMC
2017-04-18,SJS
2017-04-19,DHT
2017-04-19,BMC
2017-04-19,SJS
2017-04-20,CSV
2017-04-20,L14
2017-04-20,TV2
2017-04-21,DHT
2017-04-21,TV2
2017-04-21,RAL
2017-04-24,SJS
2017-04-24,STG
2017-04-24,RAL
2017-04-25,RAL
2017-04-25,DHT
2017-04-25,DNP
2017-04-26,RAL
2017-04-26,DHT
2017-04-26,DNP
2017-04-27,RAL
2017-04-27,DHT
2017-04-27,TDC
2017-04-28,RAL
2017-04-28,DHT
2017-04-28,TDC
2017-05-03,KDH
2017-05-03,TDC
2017-05-03,DNP
2017-05-04,KDH
2017-05-04,DNP
2017-05-04,TDC
2017-05-05,KDH
2017-05-05,RAL
2017-05-05,DNP
2017-05-08,KDH
2017-05-08,RAL
2017-05-08,DNP
2017-05-09,TDC
2017-05-09,HDC
2017-05-09,RAL
2017-05-10,TDC
2017-05-10,RAL
2017-05-10,DNP
2017-05-11,TDC
