number,llb,lub,value
0,4500000,7000000,-1.3942262322348005
1,2000000,2500000,-0.5252961577583879
2,2000000,2500000,-0.5252961577583879
3,5500000,8000000,-0.7585800744289147
4,4000000,5500000,-1.5355401182079182
5,1000000,3500000,-0.02038482703635117
6,4500000,7500000,-1.2395472072979357
7,5000000,7000000,-0.6419778315397369
8,3500000,4500000,-0.19739558204442437
9,5000000,7500000,-0.5463394970492301
10,2500000,3000000,-0.3599779023950911
11,7000000,8000000,-0.3977561188860014
12,2500000,5000000,-0.49312636034945667
13,6000000,8000000,-1.2142465504442819
14,3000000,4500000,0.0765210802155034
15,2500000,5000000,-0.49312636034945667
16,2500000,4000000,0.14276957151457584
17,6500000,7500000,-0.3124196541055061
18,6000000,8500000,-0.4344219330140993
19,3500000,4500000,-0.19739558204442437
20,3500000,4000000,0.46698038722330926
21,4500000,7500000,-1.2395472072979357
22,6500000,7500000,-0.3124196541055061
23,4000000,7000000,-1.3310026361651535
24,2500000,5500000,-0.5590058615121102
25,1000000,3000000,-0.20601499991519814
26,4000000,7000000,-1.3310026361651535
27,2500000,3000000,-0.3599779023950911
28,6500000,9500000,0.7491884600871717
29,2000000,5000000,-0.6107587412728354
30,3000000,4000000,0.3969786746660265
31,6500000,9500000,0.7491884600871717
32,5000000,5500000,-0.05139054672679126
33,4500000,7000000,-1.3942262322348005
34,6000000,7000000,-1.8881640151066674
35,4000000,7000000,-1.3310026361651535
36,2500000,5000000,-0.49312636034945667
37,3500000,6000000,-0.6728409309045189
38,2000000,4000000,-0.05831256868767101
39,6500000,9000000,0.7837163556347491
40,4000000,5500000,-1.5355401182079182
41,6000000,7000000,-1.8881640151066674
42,4500000,6000000,-1.1164645008117815
43,1000000,2000000,-0.07132700984268094
44,5500000,6500000,-1.337431255511926
45,3500000,5500000,-0.9497491222955677
46,6000000,7000000,-1.8881640151066674
47,2000000,4500000,-0.3062035415484908
48,6500000,8500000,0.34297682467220414
49,5500000,6500000,-1.337431255511926
50,4000000,7000000,-1.3310026361651535
51,6000000,9000000,0.023624020955894273
52,6000000,7000000,-1.8881640151066674
53,4500000,6000000,-1.1164645008117815
54,5000000,5500000,-0.05139054672679126
55,3500000,6000000,-0.6728409309045189
56,7000000,7500000,-0.4335438185332113
57,7000000,9500000,0.839353601518725
58,3000000,4000000,0.3969786746660265
59,2500000,3500000,-0.0008127855728310539
60,6500000,9000000,0.7837163556347491
61,5500000,8500000,-0.29060648749588325
62,4500000,6000000,-1.1164645008117815
63,2000000,5000000,-0.6107587412728354
64,2500000,4000000,0.14276957151457584
65,3000000,6000000,-0.38413624852634864
66,2500000,3500000,-0.0008127855728310539
67,4000000,7000000,-1.3310026361651535
68,6500000,7500000,-0.3124196541055061
69,4000000,5000000,-2.1635841604424875
70,6500000,8000000,-0.33272016779588753
71,5500000,7500000,-0.8222700959313061
72,5000000,8000000,-0.5234983808943877
73,2000000,3500000,-0.15423718809569378
74,5000000,6500000,-0.8026192283154041
75,2500000,5500000,-0.5590058615121102
76,3500000,5500000,-0.9497491222955677
77,2000000,2500000,-0.5252961577583879
78,3500000,4000000,0.46698038722330926
79,4000000,5500000,-1.5355401182079182
80,3500000,6000000,-0.6728409309045189
81,1000000,3000000,-0.20601499991519814
82,5000000,7500000,-0.5463394970492301
83,4500000,7500000,-1.2395472072979357
84,4500000,6500000,-1.6201101835293046
85,3000000,3500000,0.36523103358588255
86,5500000,8500000,-0.29060648749588325
87,4000000,7000000,-1.3310026361651535
88,5500000,8000000,-0.7585800744289147
89,4500000,7500000,-1.2395472072979357
90,6500000,9500000,0.7491884600871717
91,1000000,3500000,-0.02038482703635117
92,7000000,7500000,-0.4335438185332113
93,1500000,2000000,-0.2124103301651178
94,3000000,5500000,-0.5540462701182554
95,4500000,7000000,-1.3942262322348005
96,2500000,4500000,-0.028659540943395866
97,7000000,9500000,0.839353601518725
98,3000000,4500000,0.0765210802155034
99,1500000,4500000,-0.28523779739135646
100,3500000,6000000,-0.6728409309045189
101,2000000,2500000,-0.5252961577583879
102,6500000,9500000,0.7491884600871717
103,4500000,5000000,-3.3852028837889647
104,4000000,5500000,-1.5355401182079182
105,4000000,6500000,-1.5213279554585992
106,6500000,7500000,-0.3124196541055061
107,5000000,8000000,-0.5234983808943877
108,6000000,9000000,0.023624020955894273
109,7000000,8500000,0.4528010628948807
110,1500000,4000000,-0.07222715216735924
111,6000000,7500000,-1.4263216120731628
112,2000000,5000000,-0.6107587412728354
113,2500000,3000000,-0.3599779023950911
114,1500000,2500000,-0.40286424735959336
115,5500000,8500000,-0.29060648749588325
116,1000000,2000000,-0.07132700984268094
117,6500000,8000000,-0.33272016779588753
118,5500000,7000000,-0.9862404422172534
119,3000000,5500000,-0.5540462701182554
120,4500000,6000000,-1.1164645008117815
121,3500000,5000000,-1.1922925285964554
122,4500000,6500000,-1.6201101835293046
123,7000000,9500000,0.839353601518725
124,6500000,7500000,-0.3124196541055061
125,1000000,1500000,-0.1335502831443196
126,6000000,7500000,-1.4263216120731628
127,4000000,6000000,-1.0775947746124823
128,2000000,4500000,-0.3062035415484908
129,3000000,5000000,-0.6583379149754192
130,2500000,5500000,-0.5590058615121102
131,2500000,4000000,0.14276957151457584
132,3500000,4500000,-0.19739558204442437
133,5000000,6500000,-0.8026192283154041
134,7000000,8500000,0.4528010628948807
135,2500000,3500000,-0.0008127855728310539
136,5000000,5500000,-0.05139054672679126
137,2000000,3000000,-0.4670991270407804
138,2500000,3000000,-0.3599779023950911
139,1500000,4000000,-0.07222715216735924
140,2500000,4000000,0.14276957151457584
141,2000000,3000000,-0.4670991270407804
142,4500000,5000000,-3.3852028837889647
143,6000000,6500000,-3.293050174244369
144,5000000,7500000,-0.5463394970492301
145,4000000,5000000,-2.1635841604424875
