start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2017-01-03,2017-01-03,VNE,2700,7.33,59988.1254
2017-01-03,2017-01-03,VRC,1000,18.5,59977.0254
2017-01-04,2017-01-04,SHI,2300,8.48,59988.2976
2017-01-03,2017-01-04,VNE,2700,7.3,59896.0254
2017-01-04,2017-01-04,VNE,2700,7.3,59976.4716
2017-01-03,2017-01-04,VRC,1000,19.1,60496.0254
2017-01-04,2017-01-04,VRC,1000,19.1,59965.0116
2017-01-04,2017-01-05,SHI,2300,8.45,59896.0116
2017-01-03,2017-01-05,VNE,2700,7.35,60631.0254
2017-01-04,2017-01-05,VNE,2700,7.35,60031.0116
2017-01-05,2017-01-05,VNE,2700,7.35,59988.093
2017-01-03,2017-01-05,VRC,1000,19.1,60631.0254
2017-01-04,2017-01-05,VRC,1000,19.1,60031.0116
2017-01-05,2017-01-05,VRC,1000,19.1,59976.633
2017-01-06,2017-01-06,DCL,700,25.6,59989.248
2017-01-04,2017-01-06,SHI,2300,8.47,60077.0116
2017-01-03,2017-01-06,VNE,2700,7.24,60334.0254
2017-01-04,2017-01-06,VNE,2700,7.24,59780.0116
2017-01-05,2017-01-06,VNE,2700,7.24,59679.633
2017-01-06,2017-01-06,VNE,2700,7.24,59977.5192
2017-01-03,2017-01-06,VRC,1000,18.6,59834.0254
2017-01-04,2017-01-06,VRC,1000,18.6,59280.0116
2017-01-05,2017-01-06,VRC,1000,18.6,59179.633
2017-01-06,2017-01-06,VRC,1000,18.6,59966.3592
2017-01-06,2017-01-09,DCL,700,26.8,60806.3592
2017-01-09,2017-01-09,DCL,700,26.8,59988.744
2017-01-09,2017-01-09,ITD,800,24.65,59976.912
2017-01-04,2017-01-09,SHI,2300,8.51,59372.0116
2017-01-03,2017-01-09,VNE,2700,7.43,60347.0254
2017-01-04,2017-01-09,VNE,2700,7.43,59885.0116
2017-01-05,2017-01-09,VNE,2700,7.43,59692.633
2017-01-06,2017-01-09,VNE,2700,7.43,61319.3592
2017-01-09,2017-01-09,VNE,2600,7.43,59965.3212
2017-01-03,2017-01-09,VRC,1000,18.8,60547.0254
2017-01-04,2017-01-09,VRC,1000,18.8,60085.0116
2017-01-05,2017-01-09,VRC,1000,18.8,59892.633
2017-01-06,2017-01-09,VRC,1000,18.8,61519.3592
2017-01-06,2017-01-10,DCL,700,26.0,60959.3592
2017-01-09,2017-01-10,DCL,700,26.0,59405.3212
2017-01-10,2017-01-10,DCL,700,26.0,59989.08
2017-01-09,2017-01-10,ITD,800,25.5,60085.3212
2017-01-10,2017-01-10,ITD,700,25.5,59978.37
2017-01-04,2017-01-10,SHI,2300,8.65,60407.0116
2017-01-03,2017-01-10,VNE,2700,7.45,60601.0254
2017-01-04,2017-01-10,VNE,2700,7.45,60461.0116
2017-01-05,2017-01-10,VNE,2700,7.45,59946.633
2017-01-06,2017-01-10,VNE,2700,7.45,61013.3592
2017-01-09,2017-01-10,VNE,2600,7.45,60137.3212
2017-01-10,2017-01-10,VNE,2600,7.45,59966.748
2017-01-03,2017-01-10,VRC,1000,18.8,60601.0254
2017-01-04,2017-01-10,VRC,1000,18.8,60461.0116
2017-01-05,2017-01-10,VRC,1000,18.8,59946.633
2017-01-06,2017-01-10,VRC,1000,18.8,61013.3592
2017-01-06,2017-01-11,DCL,700,25.35,60558.3592
2017-01-09,2017-01-11,DCL,700,25.35,59682.3212
2017-01-10,2017-01-11,DCL,700,25.35,59511.748
2017-01-11,2017-01-11,DCL,700,25.35,59989.353
2017-01-09,2017-01-11,ITD,800,25.0,59282.3212
2017-01-10,2017-01-11,ITD,700,25.0,59161.748
2017-01-11,2017-01-11,ITD,700,25.0,59978.853
2017-01-04,2017-01-11,SHI,2300,8.63,60415.0116
2017-01-03,2017-01-11,VNE,2700,7.78,61492.0254
2017-01-04,2017-01-11,VNE,2700,7.78,61306.0116
2017-01-05,2017-01-11,VNE,2700,7.78,60837.633
2017-01-06,2017-01-11,VNE,2700,7.78,61449.3592
2017-01-09,2017-01-11,VNE,2600,7.78,60140.3212
2017-01-10,2017-01-11,VNE,2600,7.78,60019.748
2017-01-11,2017-01-11,VNE,2500,7.78,59967.183000000005
2017-01-03,2017-01-11,VRC,1000,18.7,61392.0254
2017-01-04,2017-01-11,VRC,1000,18.7,61206.0116
2017-01-05,2017-01-11,VRC,1000,18.7,60737.633
2017-01-06,2017-01-11,VRC,1000,18.7,61349.3592
2017-01-06,2017-01-12,DCL,700,25.85,61699.3592
2017-01-09,2017-01-12,DCL,700,25.85,60490.3212
2017-01-10,2017-01-12,DCL,700,25.85,60369.748
2017-01-11,2017-01-12,DCL,700,25.85,60317.183000000005
2017-01-09,2017-01-12,ITD,800,25.35,60770.3212
2017-01-10,2017-01-12,ITD,700,25.35,60614.748
2017-01-11,2017-01-12,ITD,700,25.35,60562.183000000005
2017-01-12,2017-01-12,ITD,700,25.35,59989.353
2017-01-04,2017-01-12,SHI,2300,8.63,61206.0116
2017-01-03,2017-01-12,VNE,2700,7.9,61716.0254
2017-01-04,2017-01-12,VNE,2700,7.9,61530.0116
2017-01-05,2017-01-12,VNE,2700,7.9,61061.633
2017-01-06,2017-01-12,VNE,2700,7.9,62023.3592
2017-01-09,2017-01-12,VNE,2600,7.9,61082.3212
2017-01-10,2017-01-12,VNE,2600,7.9,60926.748
2017-01-11,2017-01-12,VNE,2500,7.9,60862.183000000005
2017-01-12,2017-01-12,VNE,2500,7.9,59977.503000000004
2017-01-03,2017-01-12,VRC,1000,18.2,61216.0254
2017-01-04,2017-01-12,VRC,1000,18.2,61030.0116
2017-01-05,2017-01-12,VRC,1000,18.2,60561.633
2017-01-06,2017-01-12,VRC,1000,18.2,61523.3592
2017-01-12,2017-01-12,VRC,1000,18.2,59966.583000000006
2017-01-06,2017-01-13,DCL,700,25.9,61558.3592
2017-01-09,2017-01-13,DCL,700,25.9,61117.3212
2017-01-10,2017-01-13,DCL,700,25.9,60961.748
2017-01-11,2017-01-13,DCL,700,25.9,60897.183000000005
2017-01-13,2017-01-13,DCL,700,25.9,59989.122
2017-01-09,2017-01-13,ITD,800,24.85,60717.3212
2017-01-10,2017-01-13,ITD,700,24.85,60611.748
2017-01-11,2017-01-13,ITD,700,24.85,60547.183000000005
2017-01-12,2017-01-13,ITD,700,24.85,59616.583000000006
2017-01-13,2017-01-13,ITD,800,24.85,59977.194
2017-01-04,2017-01-13,SHI,2300,8.6,60961.0116
2017-01-03,2017-01-13,VNE,2700,7.85,61081.0254
2017-01-04,2017-01-13,VNE,2700,7.85,60826.0116
2017-01-05,2017-01-13,VNE,2700,7.85,60426.633
2017-01-06,2017-01-13,VNE,2700,7.85,61423.3592
2017-01-09,2017-01-13,VNE,2600,7.85,60587.3212
2017-01-10,2017-01-13,VNE,2600,7.85,60481.748
2017-01-11,2017-01-13,VNE,2500,7.85,60422.183000000005
2017-01-12,2017-01-13,VNE,2500,7.85,59491.583000000006
2017-01-13,2017-01-13,VNE,2500,7.85,59965.419
2017-01-03,2017-01-13,VRC,1000,18.2,61081.0254
2017-01-04,2017-01-13,VRC,1000,18.2,60826.0116
2017-01-05,2017-01-13,VRC,1000,18.2,60426.633
2017-01-06,2017-01-13,VRC,1000,18.2,61423.3592
2017-01-12,2017-01-13,VRC,1000,18.2,59491.583000000006
2017-01-06,2017-01-16,DCL,700,25.2,60933.3592
2017-01-09,2017-01-16,DCL,700,25.2,60097.3212
2017-01-10,2017-01-16,DCL,700,25.2,59991.748
2017-01-11,2017-01-16,DCL,700,25.2,59932.183000000005
2017-01-13,2017-01-16,DCL,700,25.2,59475.419
2017-01-16,2017-01-16,DCL,700,25.2,59989.416
2017-01-16,2017-01-16,GMD,700,28.55,59977.424999999996
2017-01-09,2017-01-16,ITD,800,24.1,59497.3212
2017-01-10,2017-01-16,ITD,700,24.1,59466.748
2017-01-11,2017-01-16,ITD,700,24.1,59407.183000000005
2017-01-12,2017-01-16,ITD,700,24.1,58966.583000000006
2017-01-13,2017-01-16,ITD,800,24.1,58875.419
2017-01-04,2017-01-16,SHI,2300,8.39,60343.0116
2017-01-03,2017-01-16,VNE,2700,7.89,61189.0254
2017-01-04,2017-01-16,VNE,2700,7.89,60451.0116
2017-01-05,2017-01-16,VNE,2700,7.89,60534.633
2017-01-06,2017-01-16,VNE,2700,7.89,61041.3592
2017-01-09,2017-01-16,VNE,2600,7.89,59601.3212
2017-01-10,2017-01-16,VNE,2600,7.89,59570.748
2017-01-11,2017-01-16,VNE,2500,7.89,59507.183000000005
2017-01-12,2017-01-16,VNE,2500,7.89,59066.583000000006
2017-01-13,2017-01-16,VNE,2500,7.89,58975.419
2017-01-16,2017-01-16,VNE,2500,7.89,59965.59
2017-01-03,2017-01-16,VRC,1000,17.9,60889.0254
2017-01-04,2017-01-16,VRC,1000,17.9,60151.0116
2017-01-05,2017-01-16,VRC,1000,17.9,60234.633
2017-01-06,2017-01-16,VRC,1000,17.9,60741.3592
2017-01-12,2017-01-16,VRC,1000,17.9,58766.583000000006
2017-01-06,2017-01-17,DCL,700,25.2,60741.3592
2017-01-09,2017-01-17,DCL,700,25.2,59601.3212
2017-01-10,2017-01-17,DCL,700,25.2,59570.748
2017-01-11,2017-01-17,DCL,700,25.2,59507.183000000005
2017-01-13,2017-01-17,DCL,700,25.2,58975.419
2017-01-16,2017-01-17,DCL,700,25.2,59965.59
2017-01-16,2017-01-17,GMD,700,28.5,59930.59
2017-01-09,2017-01-17,ITD,800,24.15,59641.3212
2017-01-10,2017-01-17,ITD,700,24.15,59605.748
2017-01-11,2017-01-17,ITD,700,24.15,59542.183000000005
2017-01-12,2017-01-17,ITD,700,24.15,58801.583000000006
2017-01-13,2017-01-17,ITD,800,24.15,59015.419
2017-01-04,2017-01-17,SHI,2300,8.45,60289.0116
2017-01-03,2017-01-17,VNE,2700,7.89,60889.0254
2017-01-04,2017-01-17,VNE,2700,7.89,60289.0116
2017-01-05,2017-01-17,VNE,2700,7.89,60234.633
2017-01-06,2017-01-17,VNE,2700,7.89,60741.3592
2017-01-09,2017-01-17,VNE,2600,7.89,59641.3212
2017-01-10,2017-01-17,VNE,2600,7.89,59605.748
2017-01-11,2017-01-17,VNE,2500,7.89,59542.183000000005
2017-01-12,2017-01-17,VNE,2500,7.89,58801.583000000006
2017-01-13,2017-01-17,VNE,2500,7.89,59015.419
2017-01-16,2017-01-17,VNE,2500,7.89,59930.59
2017-01-17,2017-01-17,VNE,2500,7.89,59988.165
2017-01-03,2017-01-17,VRC,1000,18.0,60989.0254
2017-01-04,2017-01-17,VRC,1000,18.0,60389.0116
2017-01-05,2017-01-17,VRC,1000,18.0,60334.633
2017-01-06,2017-01-17,VRC,1000,18.0,60841.3592
2017-01-12,2017-01-17,VRC,1000,18.0,58901.583000000006
2017-01-06,2017-01-18,DCL,700,25.3,60911.3592
2017-01-09,2017-01-18,DCL,700,25.3,59711.3212
2017-01-10,2017-01-18,DCL,700,25.3,59675.748
2017-01-11,2017-01-18,DCL,700,25.3,59612.183000000005
2017-01-13,2017-01-18,DCL,700,25.3,59085.419
2017-01-16,2017-01-18,DCL,700,25.3,60000.59
2017-01-18,2017-01-18,DHG,100,106.0,59993.64
2017-01-16,2017-01-18,GMD,700,28.3,59860.59
2017-01-09,2017-01-18,ITD,800,24.2,59751.3212
2017-01-10,2017-01-18,ITD,700,24.2,59710.748
2017-01-11,2017-01-18,ITD,700,24.2,59647.183000000005
2017-01-12,2017-01-18,ITD,700,24.2,58936.583000000006
2017-01-13,2017-01-18,ITD,800,24.2,59125.419
2017-01-04,2017-01-18,SHI,2300,8.48,60458.0116
2017-01-18,2017-01-18,TTB,2700,7.3,59981.814
2017-01-03,2017-01-18,VNE,2700,7.75,60611.0254
2017-01-04,2017-01-18,VNE,2700,7.75,60080.0116
2017-01-05,2017-01-18,VNE,2700,7.75,59956.633
2017-01-06,2017-01-18,VNE,2700,7.75,60533.3592
2017-01-09,2017-01-18,VNE,2600,7.75,59387.3212
2017-01-10,2017-01-18,VNE,2600,7.75,59346.748
2017-01-11,2017-01-18,VNE,2500,7.75,59297.183000000005
2017-01-12,2017-01-18,VNE,2500,7.75,58586.583000000006
2017-01-13,2017-01-18,VNE,2500,7.75,58775.419
2017-01-16,2017-01-18,VNE,2500,7.75,59510.59
2017-01-17,2017-01-18,VNE,2500,7.75,59638.165
2017-01-18,2017-01-18,VNE,2500,7.75,59970.189
2017-01-03,2017-01-18,VRC,1000,17.85,60461.0254
2017-01-04,2017-01-18,VRC,1000,17.85,59930.0116
2017-01-05,2017-01-18,VRC,1000,17.85,59806.633
2017-01-06,2017-01-18,VRC,1000,17.85,60383.3592
2017-01-12,2017-01-18,VRC,1000,17.85,58436.583000000006
2017-01-06,2017-01-19,DCL,700,25.3,60383.3592
2017-01-09,2017-01-19,DCL,700,25.3,59387.3212
2017-01-10,2017-01-19,DCL,700,25.3,59346.748
2017-01-11,2017-01-19,DCL,700,25.3,59297.183000000005
2017-01-13,2017-01-19,DCL,700,25.3,58775.419
2017-01-16,2017-01-19,DCL,700,25.3,59510.59
2017-01-18,2017-01-19,DHG,100,108.8,60250.189
2017-01-19,2017-01-19,DHG,100,108.8,59993.472
2017-01-16,2017-01-19,GMD,700,28.0,59300.59
2017-01-09,2017-01-19,ITD,800,23.3,58667.3212
2017-01-10,2017-01-19,ITD,700,23.3,58716.748
2017-01-11,2017-01-19,ITD,700,23.3,58667.183000000005
2017-01-12,2017-01-19,ITD,700,23.3,57806.583000000006
2017-01-13,2017-01-19,ITD,800,23.3,58055.419
2017-01-04,2017-01-19,SHI,2300,8.45,59861.0116
2017-01-18,2017-01-19,TTB,2700,7.4,60520.189
2017-01-19,2017-01-19,TTB,2700,7.4,59981.484000000004
2017-01-03,2017-01-19,VNE,2700,7.7,60326.0254
2017-01-04,2017-01-19,VNE,2700,7.7,59726.0116
2017-01-05,2017-01-19,VNE,2700,7.7,59671.633
2017-01-06,2017-01-19,VNE,2700,7.7,60248.3592
2017-01-09,2017-01-19,VNE,2600,7.7,58537.3212
2017-01-10,2017-01-19,VNE,2600,7.7,58586.748
2017-01-11,2017-01-19,VNE,2500,7.7,58542.183000000005
2017-01-12,2017-01-19,VNE,2500,7.7,57681.583000000006
2017-01-13,2017-01-19,VNE,2500,7.7,57930.419
2017-01-16,2017-01-19,VNE,2500,7.7,59175.59
2017-01-17,2017-01-19,VNE,2500,7.7,59513.165
2017-01-18,2017-01-19,VNE,2500,7.7,60395.189
2017-01-19,2017-01-19,VNE,2500,7.7,59969.934
2017-01-03,2017-01-19,VRC,1000,17.9,60376.0254
2017-01-04,2017-01-19,VRC,1000,17.9,59776.0116
2017-01-05,2017-01-19,VRC,1000,17.9,59721.633
2017-01-06,2017-01-19,VRC,1000,17.9,60298.3592
2017-01-12,2017-01-19,VRC,1000,17.9,57731.583000000006
2017-01-06,2017-01-20,DCL,700,25.3,60298.3592
2017-01-09,2017-01-20,DCL,700,25.3,58537.3212
2017-01-10,2017-01-20,DCL,700,25.3,58586.748
2017-01-11,2017-01-20,DCL,700,25.3,58542.183000000005
2017-01-13,2017-01-20,DCL,700,25.3,57930.419
2017-01-16,2017-01-20,DCL,700,25.3,59175.59
2017-01-18,2017-01-20,DHG,100,109.8,60495.189
2017-01-19,2017-01-20,DHG,100,109.8,60069.934
2017-01-16,2017-01-20,GMD,700,27.9,59105.59
2017-01-20,2017-01-20,HHG,2400,8.3,59988.048
2017-01-09,2017-01-20,ITD,800,23.3,58537.3212
2017-01-10,2017-01-20,ITD,700,23.3,58586.748
2017-01-11,2017-01-20,ITD,700,23.3,58542.183000000005
2017-01-12,2017-01-20,ITD,700,23.3,57731.583000000006
2017-01-13,2017-01-20,ITD,800,23.3,57930.419
2017-01-04,2017-01-20,SHI,2300,8.33,59500.0116
2017-01-18,2017-01-20,TTB,2700,7.3,60225.189
2017-01-19,2017-01-20,TTB,2700,7.3,59799.934
2017-01-20,2017-01-20,TTB,2700,7.3,59976.222
2017-01-03,2017-01-20,VNE,2700,7.66,60268.0254
2017-01-04,2017-01-20,VNE,2700,7.66,59392.0116
2017-01-05,2017-01-20,VNE,2700,7.66,59613.633
2017-01-06,2017-01-20,VNE,2700,7.66,60190.3592
2017-01-09,2017-01-20,VNE,2600,7.66,58433.3212
2017-01-10,2017-01-20,VNE,2600,7.66,58482.748
2017-01-11,2017-01-20,VNE,2500,7.66,58442.183000000005
2017-01-12,2017-01-20,VNE,2500,7.66,57631.583000000006
2017-01-13,2017-01-20,VNE,2500,7.66,57830.419
2017-01-16,2017-01-20,VNE,2500,7.66,59005.59
2017-01-17,2017-01-20,VNE,2500,7.66,59413.165
2017-01-18,2017-01-20,VNE,2500,7.66,60125.189
2017-01-19,2017-01-20,VNE,2500,7.66,59699.934
2017-01-20,2017-01-20,VNE,2600,7.66,59964.2724
2017-01-03,2017-01-20,VRC,1000,18.3,60668.0254
2017-01-04,2017-01-20,VRC,1000,18.3,59792.0116
2017-01-05,2017-01-20,VRC,1000,18.3,60013.633
2017-01-06,2017-01-20,VRC,1000,18.3,60590.3592
2017-01-12,2017-01-20,VRC,1000,18.3,58031.583000000006
2017-01-06,2017-01-23,DCL,700,25.25,60555.3592
2017-01-09,2017-01-23,DCL,700,25.25,58398.3212
2017-01-10,2017-01-23,DCL,700,25.25,58447.748
2017-01-11,2017-01-23,DCL,700,25.25,58407.183000000005
2017-01-13,2017-01-23,DCL,700,25.25,57795.419
2017-01-16,2017-01-23,DCL,700,25.25,58970.59
2017-01-18,2017-01-23,DHG,100,108.5,59995.189
2017-01-19,2017-01-23,DHG,100,108.5,59569.934
2017-01-16,2017-01-23,GMD,700,27.8,58900.59
2017-01-20,2017-01-23,HHG,2400,8.2,59724.2724
2017-01-09,2017-01-23,ITD,800,24.8,59598.3212
2017-01-10,2017-01-23,ITD,700,24.8,59497.748
2017-01-11,2017-01-23,ITD,700,24.8,59457.183000000005
2017-01-12,2017-01-23,ITD,700,24.8,59081.583000000006
2017-01-13,2017-01-23,ITD,800,24.8,58995.419
2017-01-04,2017-01-23,SHI,2300,8.18,59447.0116
2017-01-18,2017-01-23,TTB,2700,7.0,59185.189
2017-01-19,2017-01-23,TTB,2700,7.0,58759.934
2017-01-20,2017-01-23,TTB,2700,7.0,58914.2724
2017-01-23,2017-01-23,TTB,2800,7.0,59988.24
2017-01-03,2017-01-23,VNE,2700,7.7,60776.0254
2017-01-04,2017-01-23,VNE,2700,7.7,59555.0116
2017-01-05,2017-01-23,VNE,2700,7.7,60121.633
2017-01-06,2017-01-23,VNE,2700,7.7,60663.3592
2017-01-09,2017-01-23,VNE,2600,7.7,59702.3212
2017-01-10,2017-01-23,VNE,2600,7.7,59601.748
2017-01-11,2017-01-23,VNE,2500,7.7,59557.183000000005
2017-01-12,2017-01-23,VNE,2500,7.7,59181.583000000006
2017-01-13,2017-01-23,VNE,2500,7.7,59095.419
2017-01-16,2017-01-23,VNE,2500,7.7,59000.59
2017-01-17,2017-01-23,VNE,2500,7.7,59513.165
2017-01-18,2017-01-23,VNE,2500,7.7,59285.189
2017-01-19,2017-01-23,VNE,2500,7.7,58859.934
2017-01-20,2017-01-23,VNE,2600,7.7,59018.2724
2017-01-23,2017-01-23,VNE,2500,7.7,59976.689999999995
2017-01-03,2017-01-23,VRC,1000,17.85,60326.0254
2017-01-04,2017-01-23,VRC,1000,17.85,59105.0116
2017-01-05,2017-01-23,VRC,1000,17.85,59671.633
2017-01-06,2017-01-23,VRC,1000,17.85,60213.3592
2017-01-12,2017-01-23,VRC,1000,17.85,58731.583000000006
2017-01-06,2017-01-24,DCL,700,25.8,60598.3592
2017-01-09,2017-01-24,DCL,700,25.8,60087.3212
2017-01-10,2017-01-24,DCL,700,25.8,59986.748
2017-01-11,2017-01-24,DCL,700,25.8,59942.183000000005
2017-01-13,2017-01-24,DCL,700,25.8,59480.419
2017-01-16,2017-01-24,DCL,700,25.8,59385.59
2017-01-18,2017-01-24,DHG,100,107.5,59185.189
2017-01-19,2017-01-24,DHG,100,107.5,58759.934
2017-01-16,2017-01-24,GMD,700,27.8,59385.59
2017-01-20,2017-01-24,HHG,2400,8.2,59018.2724
2017-01-09,2017-01-24,ITD,800,24.9,60167.3212
2017-01-10,2017-01-24,ITD,700,24.9,60056.748
2017-01-11,2017-01-24,ITD,700,24.9,60012.183000000005
2017-01-12,2017-01-24,ITD,700,24.9,58801.583000000006
2017-01-13,2017-01-24,ITD,800,24.9,59560.419
2017-01-04,2017-01-24,SHI,2300,8.18,59105.0116
2017-01-18,2017-01-24,TTB,2700,7.2,59725.189
2017-01-19,2017-01-24,TTB,2700,7.2,59299.934
2017-01-20,2017-01-24,TTB,2700,7.2,59558.2724
2017-01-23,2017-01-24,TTB,2800,7.2,60536.689999999995
2017-01-24,2017-01-24,TTB,2700,7.2,59988.336
2017-01-03,2017-01-24,VNE,2700,7.93,60947.0254
2017-01-04,2017-01-24,VNE,2700,7.93,59726.0116
2017-01-05,2017-01-24,VNE,2700,7.93,60292.633
2017-01-06,2017-01-24,VNE,2700,7.93,61219.3592
2017-01-09,2017-01-24,VNE,2600,7.93,60765.3212
2017-01-10,2017-01-24,VNE,2600,7.93,60654.748
2017-01-11,2017-01-24,VNE,2500,7.93,60587.183000000005
2017-01-12,2017-01-24,VNE,2500,7.93,59376.583000000006
2017-01-13,2017-01-24,VNE,2500,7.93,60135.419
2017-01-16,2017-01-24,VNE,2500,7.93,59960.59
2017-01-17,2017-01-24,VNE,2500,7.93,60088.165
2017-01-18,2017-01-24,VNE,2500,7.93,60300.189
2017-01-19,2017-01-24,VNE,2500,7.93,59874.934
2017-01-20,2017-01-24,VNE,2600,7.93,60156.2724
2017-01-23,2017-01-24,VNE,2500,7.93,61111.689999999995
2017-01-24,2017-01-24,VNE,2500,7.93,59976.441000000006
2017-01-03,2017-01-24,VRC,1000,17.3,60397.0254
2017-01-04,2017-01-24,VRC,1000,17.3,59176.0116
2017-01-05,2017-01-24,VRC,1000,17.3,59742.633
2017-01-06,2017-01-24,VRC,1000,17.3,60669.3592
2017-01-12,2017-01-24,VRC,1000,17.3,58826.583000000006
2017-01-06,2017-01-25,DCL,700,26.0,60809.3592
2017-01-09,2017-01-25,DCL,700,26.0,60905.3212
2017-01-10,2017-01-25,DCL,700,26.0,60794.748
2017-01-11,2017-01-25,DCL,700,26.0,60727.183000000005
2017-01-13,2017-01-25,DCL,700,26.0,60275.419
2017-01-16,2017-01-25,DCL,700,26.0,60100.59
2017-01-18,2017-01-25,DHG,100,110.0,60550.189
2017-01-19,2017-01-25,DHG,100,110.0,60124.934
2017-01-16,2017-01-25,GMD,700,28.3,60450.59
2017-01-20,2017-01-25,HHG,2400,8.3,60396.2724
