start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2017-01-03,2017-01-03,PPC,1100,17.0,59988.78
2017-01-03,2017-01-03,VNE,2700,7.33,59976.905399999996
2017-01-04,2017-01-04,HCD,2200,8.82,59988.3576
2017-01-03,2017-01-04,PPC,1100,17.1,60086.905399999996
2017-01-04,2017-01-04,PPC,1100,17.1,59977.0716
2017-01-03,2017-01-04,VNE,2700,7.3,60005.905399999996
2017-01-04,2017-01-04,VNE,2700,7.3,59965.2456
2017-01-04,2017-01-05,HCD,2200,9.0,60361.2456
2017-01-03,2017-01-05,PPC,1100,17.05,59950.905399999996
2017-01-04,2017-01-05,PPC,1100,17.05,60306.2456
2017-01-05,2017-01-05,PPC,1100,17.05,59988.747
2017-01-03,2017-01-05,VNE,2700,7.35,60085.905399999996
2017-01-04,2017-01-05,VNE,2700,7.35,60441.2456
2017-01-05,2017-01-05,VNE,2700,7.35,59976.840000000004
2017-01-04,2017-01-06,HCD,2200,9.1,60661.2456
2017-01-06,2017-01-06,KDM,1400,14.0,59988.24
2017-01-03,2017-01-06,PPC,1100,16.3,59260.905399999996
2017-01-04,2017-01-06,PPC,1100,16.3,59836.2456
2017-01-05,2017-01-06,PPC,1100,16.3,59151.840000000004
2017-01-06,2017-01-06,PPC,1200,16.3,59976.504
2017-01-03,2017-01-06,VNE,2700,7.24,58963.905399999996
2017-01-04,2017-01-06,VNE,2700,7.24,59539.2456
2017-01-05,2017-01-06,VNE,2700,7.24,58854.840000000004
2017-01-06,2017-01-06,VNE,2700,7.24,59964.775200000004
2017-01-09,2017-01-09,DCL,700,26.8,59988.744
2017-01-04,2017-01-09,HCD,2200,8.95,59209.2456
2017-01-06,2017-01-09,KDM,1400,13.9,59824.775200000004
2017-01-09,2017-01-09,KDM,1400,13.9,59977.068
2017-01-03,2017-01-09,PPC,1100,16.8,59513.905399999996
2017-01-04,2017-01-09,PPC,1100,16.8,59759.2456
2017-01-05,2017-01-09,PPC,1100,16.8,59404.840000000004
2017-01-06,2017-01-09,PPC,1200,16.8,60424.775200000004
2017-01-03,2017-01-09,VNE,2700,7.43,60026.905399999996
2017-01-04,2017-01-09,VNE,2700,7.43,60272.2456
2017-01-05,2017-01-09,VNE,2700,7.43,59917.840000000004
2017-01-06,2017-01-09,VNE,2700,7.43,60937.775200000004
2017-01-09,2017-01-09,VNE,2600,7.43,59965.4772
2017-01-09,2017-01-10,DCL,700,26.0,59405.4772
2017-01-10,2017-01-10,DCL,700,26.0,59989.08
2017-01-04,2017-01-10,HCD,2200,9.06,60514.2456
2017-01-06,2017-01-10,KDM,1400,14.0,61077.775200000004
2017-01-09,2017-01-10,KDM,1400,14.0,59545.4772
2017-01-10,2017-01-10,KDM,1400,14.0,59977.32
2017-01-03,2017-01-10,PPC,1100,17.0,60246.905399999996
2017-01-04,2017-01-10,PPC,1100,17.0,60734.2456
2017-01-05,2017-01-10,PPC,1100,17.0,60137.840000000004
2017-01-06,2017-01-10,PPC,1200,17.0,61317.775200000004
2017-01-03,2017-01-10,VNE,2700,7.45,60300.905399999996
2017-01-04,2017-01-10,VNE,2700,7.45,60788.2456
2017-01-05,2017-01-10,VNE,2700,7.45,60191.840000000004
2017-01-06,2017-01-10,VNE,2700,7.45,61371.775200000004
2017-01-09,2017-01-10,VNE,2600,7.45,59597.4772
2017-01-10,2017-01-10,VNE,2600,7.45,59965.698
2017-01-09,2017-01-11,DCL,700,25.35,59142.4772
2017-01-10,2017-01-11,DCL,700,25.35,59510.698
2017-01-11,2017-01-11,DCL,700,25.35,59989.353
2017-01-04,2017-01-11,HCD,2200,9.13,60942.2456
2017-01-06,2017-01-11,KDM,1400,15.4,63331.775200000004
2017-01-09,2017-01-11,KDM,1400,15.4,61102.4772
2017-01-10,2017-01-11,KDM,1400,15.4,61470.698
2017-01-11,2017-01-11,KDM,1200,15.4,59978.265
2017-01-03,2017-01-11,PPC,1100,17.2,60520.905399999996
2017-01-04,2017-01-11,PPC,1100,17.2,61162.2456
2017-01-05,2017-01-11,PPC,1100,17.2,60411.840000000004
2017-01-06,2017-01-11,PPC,1200,17.2,63571.775200000004
2017-01-03,2017-01-11,VNE,2700,7.78,61411.905399999996
2017-01-04,2017-01-11,VNE,2700,7.78,62053.2456
2017-01-05,2017-01-11,VNE,2700,7.78,61302.840000000004
2017-01-06,2017-01-11,VNE,2700,7.78,64462.775200000004
2017-01-09,2017-01-11,VNE,2600,7.78,61960.4772
2017-01-10,2017-01-11,VNE,2600,7.78,62328.698
2017-01-11,2017-01-11,VNE,2500,7.78,59966.595
2017-01-09,2017-01-12,DCL,700,25.85,62310.4772
2017-01-10,2017-01-12,DCL,700,25.85,62678.698
2017-01-11,2017-01-12,DCL,700,25.85,60316.595
2017-01-04,2017-01-12,HCD,2200,9.25,62317.2456
2017-01-06,2017-01-12,KDM,1400,16.9,66562.7752
2017-01-09,2017-01-12,KDM,1400,16.9,64410.4772
2017-01-10,2017-01-12,KDM,1400,16.9,64778.698
2017-01-11,2017-01-12,KDM,1200,16.9,62116.595
2017-01-03,2017-01-12,PPC,1100,17.0,61191.905399999996
2017-01-04,2017-01-12,PPC,1100,17.0,62097.2456
2017-01-05,2017-01-12,PPC,1100,17.0,61082.840000000004
2017-01-06,2017-01-12,PPC,1200,17.0,66322.7752
2017-01-12,2017-01-12,PPC,1100,17.0,59988.78
2017-01-03,2017-01-12,VNE,2700,7.9,61515.905399999996
2017-01-04,2017-01-12,VNE,2700,7.9,62421.2456
2017-01-05,2017-01-12,VNE,2700,7.9,61406.840000000004
2017-01-06,2017-01-12,VNE,2700,7.9,66646.7752
2017-01-09,2017-01-12,VNE,2600,7.9,64722.4772
2017-01-10,2017-01-12,VNE,2600,7.9,65090.698
2017-01-11,2017-01-12,VNE,2500,7.9,62416.595
2017-01-12,2017-01-12,VNE,2500,7.9,59976.93
2017-01-09,2017-01-13,DCL,700,25.9,64757.4772
2017-01-10,2017-01-13,DCL,700,25.9,65125.698
2017-01-11,2017-01-13,DCL,700,25.9,62451.595
2017-01-13,2017-01-13,DCL,700,25.9,59989.122
2017-01-04,2017-01-13,HCD,2200,9.57,63125.2456
2017-01-13,2017-01-13,HCD,2000,9.57,59977.638000000006
2017-01-06,2017-01-13,KDM,1400,15.3,64406.775200000004
2017-01-09,2017-01-13,KDM,1400,15.3,62517.4772
2017-01-10,2017-01-13,KDM,1400,15.3,62885.698
2017-01-11,2017-01-13,KDM,1200,15.3,60531.595
2017-01-03,2017-01-13,PPC,1100,16.6,61075.905399999996
2017-01-04,2017-01-13,PPC,1100,16.6,62685.2456
2017-01-05,2017-01-13,PPC,1100,16.6,60966.840000000004
2017-01-06,2017-01-13,PPC,1200,16.6,63926.775200000004
2017-01-12,2017-01-13,PPC,1100,16.6,59536.93
2017-01-03,2017-01-13,VNE,2700,7.85,60940.905399999996
2017-01-04,2017-01-13,VNE,2700,7.85,62550.2456
2017-01-05,2017-01-13,VNE,2700,7.85,60831.840000000004
2017-01-06,2017-01-13,VNE,2700,7.85,63791.775200000004
2017-01-09,2017-01-13,VNE,2600,7.85,62387.4772
2017-01-10,2017-01-13,VNE,2600,7.85,62755.698
2017-01-11,2017-01-13,VNE,2500,7.85,60406.595
2017-01-12,2017-01-13,VNE,2500,7.85,59411.93
2017-01-13,2017-01-13,VNE,2500,7.85,59965.863000000005
2017-01-09,2017-01-16,DCL,700,25.2,61897.4772
2017-01-10,2017-01-16,DCL,700,25.2,62265.698
2017-01-11,2017-01-16,DCL,700,25.2,59916.595
2017-01-13,2017-01-16,DCL,700,25.2,59475.863000000005
2017-01-16,2017-01-16,DCL,700,25.2,59989.416
2017-01-04,2017-01-16,HCD,2200,9.51,62418.2456
2017-01-13,2017-01-16,HCD,2000,9.51,59355.863000000005
