start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2017-01-03,2017-01-03,PPC,1100,17.0,59988.78
2017-01-03,2017-01-03,VNE,2700,7.33,59976.905399999996
2017-01-03,2017-01-04,PPC,1100,17.1,60086.905399999996
2017-01-04,2017-01-04,PPC,1100,17.1,59988.714
2017-01-04,2017-01-04,VIS,900,20.0,59977.914
2017-01-03,2017-01-04,VNE,2700,7.3,60005.905399999996
2017-01-04,2017-01-04,VNE,2700,7.3,59966.087999999996
2017-01-03,2017-01-05,PPC,1100,17.05,59950.905399999996
2017-01-04,2017-01-05,PPC,1100,17.05,59911.087999999996
2017-01-05,2017-01-05,PPC,1100,17.05,59988.747
2017-01-04,2017-01-05,VIS,900,19.9,59821.087999999996
2017-01-05,2017-01-05,VIS,1000,19.9,59976.807
2017-01-03,2017-01-05,VNE,2700,7.35,60085.905399999996
2017-01-04,2017-01-05,VNE,2700,7.35,59956.087999999996
2017-01-05,2017-01-05,VNE,2700,7.35,59964.9
2017-01-03,2017-01-06,PPC,1100,16.3,59260.905399999996
2017-01-04,2017-01-06,PPC,1100,16.3,59131.087999999996
2017-01-05,2017-01-06,PPC,1100,16.3,59139.9
2017-01-06,2017-01-06,PPC,1200,16.3,59988.264
2017-01-04,2017-01-06,VIS,900,19.95,59176.087999999996
2017-01-05,2017-01-06,VIS,1000,19.95,59189.9
2017-01-06,2017-01-06,VIS,1000,19.95,59976.294
2017-01-03,2017-01-06,VNE,2700,7.24,58963.905399999996
2017-01-04,2017-01-06,VNE,2700,7.24,58879.087999999996
2017-01-05,2017-01-06,VNE,2700,7.24,58892.9
2017-01-06,2017-01-06,VNE,2700,7.24,59964.565200000005
2017-01-03,2017-01-09,PPC,1100,16.8,59513.905399999996
2017-01-04,2017-01-09,PPC,1100,16.8,59429.087999999996
2017-01-05,2017-01-09,PPC,1100,16.8,59442.9
2017-01-06,2017-01-09,PPC,1200,16.8,60564.565200000005
2017-01-04,2017-01-09,VIS,900,20.0,59474.087999999996
2017-01-05,2017-01-09,VIS,1000,20.0,59492.9
2017-01-06,2017-01-09,VIS,1000,20.0,60614.565200000005
2017-01-09,2017-01-09,VIS,900,20.0,59989.2
2017-01-03,2017-01-09,VNE,2700,7.43,60026.905399999996
2017-01-04,2017-01-09,VNE,2700,7.43,59987.087999999996
2017-01-05,2017-01-09,VNE,2700,7.43,60005.9
2017-01-06,2017-01-09,VNE,2700,7.43,61127.565200000005
2017-01-09,2017-01-09,VNE,2600,7.43,59977.6092
2017-01-03,2017-01-10,PPC,1100,17.0,60246.905399999996
2017-01-04,2017-01-10,PPC,1100,17.0,60207.087999999996
2017-01-05,2017-01-10,PPC,1100,17.0,60225.9
2017-01-06,2017-01-10,PPC,1200,17.0,61367.565200000005
2017-01-04,2017-01-10,VIS,900,20.05,60252.087999999996
2017-01-05,2017-01-10,VIS,1000,20.05,60275.9
2017-01-06,2017-01-10,VIS,1000,20.05,61417.565200000005
2017-01-09,2017-01-10,VIS,900,20.05,60022.6092
2017-01-10,2017-01-10,VIS,900,20.05,59989.173
2017-01-03,2017-01-10,VNE,2700,7.45,60300.905399999996
2017-01-04,2017-01-10,VNE,2700,7.45,60306.087999999996
2017-01-05,2017-01-10,VNE,2700,7.45,60329.9
2017-01-06,2017-01-10,VNE,2700,7.45,61471.565200000005
2017-01-09,2017-01-10,VNE,2600,7.45,60074.6092
2017-01-10,2017-01-10,VNE,2600,7.45,59977.551
2017-01-03,2017-01-11,PPC,1100,17.2,60520.905399999996
2017-01-04,2017-01-11,PPC,1100,17.2,60526.087999999996
2017-01-05,2017-01-11,PPC,1100,17.2,60549.9
2017-01-06,2017-01-11,PPC,1200,17.2,61711.565200000005
2017-01-04,2017-01-11,VIS,900,21.2,61561.087999999996
2017-01-05,2017-01-11,VIS,1000,21.2,61699.9
2017-01-06,2017-01-11,VIS,1000,21.2,62861.565200000005
2017-01-09,2017-01-11,VIS,900,21.2,61109.6092
2017-01-10,2017-01-11,VIS,900,21.2,61012.551
2017-01-11,2017-01-11,VIS,900,21.2,59988.552
2017-01-03,2017-01-11,VNE,2700,7.78,61411.905399999996
2017-01-04,2017-01-11,VNE,2700,7.78,62452.087999999996
2017-01-05,2017-01-11,VNE,2700,7.78,62590.9
2017-01-06,2017-01-11,VNE,2700,7.78,63752.565200000005
2017-01-09,2017-01-11,VNE,2600,7.78,61967.6092
2017-01-10,2017-01-11,VNE,2600,7.78,61870.551
2017-01-11,2017-01-11,VNE,2500,7.78,59976.882000000005
2017-01-03,2017-01-12,PPC,1100,17.0,61191.905399999996
2017-01-04,2017-01-12,PPC,1100,17.0,62232.087999999996
2017-01-05,2017-01-12,PPC,1100,17.0,62370.9
2017-01-06,2017-01-12,PPC,1200,17.0,63512.565200000005
2017-01-12,2017-01-12,PPC,1100,17.0,59988.78
2017-01-04,2017-01-12,VIS,900,21.95,62907.087999999996
2017-01-05,2017-01-12,VIS,1000,21.95,63120.9
2017-01-06,2017-01-12,VIS,1000,21.95,64262.565200000005
2017-01-09,2017-01-12,VIS,900,21.95,62642.6092
2017-01-10,2017-01-12,VIS,900,21.95,62545.551
2017-01-11,2017-01-12,VIS,900,21.95,60651.882000000005
2017-01-12,2017-01-12,VIS,900,21.95,59976.926999999996
2017-01-03,2017-01-12,VNE,2700,7.9,61515.905399999996
2017-01-04,2017-01-12,VNE,2700,7.9,63231.087999999996
2017-01-05,2017-01-12,VNE,2700,7.9,63444.9
2017-01-06,2017-01-12,VNE,2700,7.9,64586.565200000005
2017-01-09,2017-01-12,VNE,2600,7.9,62954.6092
2017-01-10,2017-01-12,VNE,2600,7.9,62857.551
2017-01-11,2017-01-12,VNE,2500,7.9,60951.882000000005
2017-01-12,2017-01-12,VNE,2500,7.9,59965.077
2017-01-13,2017-01-13,HCD,2000,9.57,59988.516
2017-01-03,2017-01-13,PPC,1100,16.6,61075.905399999996
2017-01-04,2017-01-13,PPC,1100,16.6,62791.087999999996
2017-01-05,2017-01-13,PPC,1100,16.6,63004.9
2017-01-06,2017-01-13,PPC,1200,16.6,64106.565200000005
2017-01-12,2017-01-13,PPC,1100,16.6,59525.077
2017-01-04,2017-01-13,VIS,900,22.65,63421.087999999996
2017-01-05,2017-01-13,VIS,1000,22.65,63704.9
2017-01-06,2017-01-13,VIS,1000,22.65,64806.565200000005
2017-01-09,2017-01-13,VIS,900,22.65,63584.6092
2017-01-10,2017-01-13,VIS,900,22.65,63487.551
2017-01-11,2017-01-13,VIS,900,22.65,61581.882000000005
2017-01-12,2017-01-13,VIS,900,22.65,60155.077
2017-01-13,2017-01-13,VIS,800,22.65,59977.644
2017-01-03,2017-01-13,VNE,2700,7.85,60940.905399999996
2017-01-04,2017-01-13,VNE,2700,7.85,63286.087999999996
2017-01-05,2017-01-13,VNE,2700,7.85,63569.9
2017-01-06,2017-01-13,VNE,2700,7.85,64671.565200000005
2017-01-09,2017-01-13,VNE,2600,7.85,63454.6092
2017-01-10,2017-01-13,VNE,2600,7.85,63357.551
2017-01-11,2017-01-13,VNE,2500,7.85,61456.882000000005
2017-01-12,2017-01-13,VNE,2500,7.85,60030.077
2017-01-13,2017-01-13,VNE,2500,7.85,59965.869
2017-01-16,2017-01-16,GMD,700,28.55,59988.009
2017-01-13,2017-01-16,HCD,2000,9.51,59845.869
2017-01-16,2017-01-16,HCD,2100,9.51,59976.026399999995
2017-01-03,2017-01-16,PPC,1100,16.8,61160.905399999996
2017-01-04,2017-01-16,PPC,1100,16.8,63506.087999999996
2017-01-05,2017-01-16,PPC,1100,16.8,63789.9
2017-01-06,2017-01-16,PPC,1200,16.8,64911.565200000005
2017-01-12,2017-01-16,PPC,1100,16.8,60250.077
2017-01-04,2017-01-16,VIS,900,22.65,63506.087999999996
