start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2017-01-03,2017-01-03,ADS,900,20.7,59988.822
2017-01-03,2017-01-04,ADS,900,20.7,59988.822
2017-01-04,2017-01-04,ADS,900,20.7,59988.822
2017-01-04,2017-01-04,HCD,2200,8.82,59977.1796
2017-01-03,2017-01-05,ADS,900,20.75,60033.822
2017-01-04,2017-01-05,ADS,900,20.75,60022.1796
2017-01-05,2017-01-05,ADS,900,20.75,59988.795
2017-01-04,2017-01-05,HCD,2200,9.0,60418.1796
2017-01-03,2017-01-06,ADS,900,20.8,60078.822
2017-01-04,2017-01-06,ADS,900,20.8,60463.1796
2017-01-05,2017-01-06,ADS,900,20.8,60033.795
2017-01-06,2017-01-06,ADS,900,20.8,59988.768
2017-01-04,2017-01-06,HCD,2200,9.1,60683.1796
2017-01-03,2017-01-09,ADS,900,20.75,60033.822
2017-01-04,2017-01-09,ADS,900,20.75,60638.1796
2017-01-05,2017-01-09,ADS,900,20.75,59988.795
2017-01-06,2017-01-09,ADS,900,20.75,59943.768
2017-01-09,2017-01-09,ADS,900,20.75,59988.795
2017-01-04,2017-01-09,HCD,2200,8.95,60308.1796
2017-01-09,2017-01-09,ITD,800,24.65,59976.962999999996
2017-01-03,2017-01-10,ADS,900,20.75,60033.822
2017-01-04,2017-01-10,ADS,900,20.75,60308.1796
2017-01-05,2017-01-10,ADS,900,20.75,59988.795
2017-01-06,2017-01-10,ADS,900,20.75,59943.768
2017-01-09,2017-01-10,ADS,900,20.75,59976.962999999996
2017-01-10,2017-01-10,ADS,900,20.75,59988.795
2017-01-04,2017-01-10,HCD,2200,9.06,60550.1796
2017-01-09,2017-01-10,ITD,800,25.5,60656.962999999996
2017-01-10,2017-01-10,ITD,700,25.5,59978.085
2017-01-03,2017-01-11,ADS,900,20.65,59943.822
2017-01-04,2017-01-11,ADS,900,20.65,60460.1796
2017-01-05,2017-01-11,ADS,900,20.65,59898.795
2017-01-06,2017-01-11,ADS,900,20.65,59853.768
2017-01-09,2017-01-11,ADS,900,20.65,60566.962999999996
2017-01-10,2017-01-11,ADS,900,20.65,59888.085
2017-01-11,2017-01-11,ADS,900,20.65,59988.849
2017-01-04,2017-01-11,HCD,2200,9.13,60614.1796
2017-01-09,2017-01-11,ITD,800,25.0,60166.962999999996
2017-01-10,2017-01-11,ITD,700,25.0,59538.085
2017-01-11,2017-01-11,ITD,700,25.0,59978.349
2017-01-03,2017-01-12,ADS,900,20.7,59988.822
2017-01-04,2017-01-12,ADS,900,20.7,60659.1796
2017-01-05,2017-01-12,ADS,900,20.7,59943.795
2017-01-06,2017-01-12,ADS,900,20.7,59898.768
2017-01-09,2017-01-12,ADS,900,20.7,60211.962999999996
2017-01-10,2017-01-12,ADS,900,20.7,59583.085
2017-01-11,2017-01-12,ADS,900,20.7,60023.349
2017-01-12,2017-01-12,ADS,900,20.7,59988.822
2017-01-04,2017-01-12,HCD,2200,9.25,60923.1796
