date,tickersymbol
2017-01-03,VNE
2017-01-04,VNE
2017-01-05,VNE
2017-01-06,VNE
2017-01-09,VNE
2017-01-10,VNE
2017-01-11,VNE
2017-01-12,VNE
2017-01-13,VNE
2017-01-16,VNE
2017-01-16,GMD
2017-01-17,VNE
2017-01-18,VNE
2017-01-19,VNE
2017-01-20,VNE
2017-01-23,VNE
2017-01-24,VNE
2017-01-25,VNE
2017-02-02,VNE
2017-02-03,VNE
2017-02-03,ITD
2017-02-06,VNE
2017-02-07,VNE
2017-02-07,ITD
2017-02-08,ITD
2017-02-08,PTB
2017-02-09,ITD
2017-02-09,PTB
2017-02-10,ITD
2017-02-10,PTB
2017-02-13,ITD
2017-02-13,PTB
2017-02-14,ITD
2017-02-14,PTB
2017-02-15,VNE
2017-02-15,PTB
2017-02-15,ITD
2017-02-16,PTB
2017-02-16,HKB
2017-02-16,ITD
2017-02-17,HKB
2017-02-17,PTB
2017-02-17,ITD
2017-02-20,HKB
2017-02-20,PTB
2017-02-20,ITD
2017-02-21,ITD
2017-02-21,PGS
2017-02-22,ITD
2017-02-22,PGS
2017-02-23,ITD
2017-02-23,PGS
2017-02-24,ITD
2017-02-24,PGS
2017-02-24,FCN
2017-02-27,PGS
2017-02-27,ITD
2017-02-27,APC
2017-02-28,ITD
2017-03-01,ITD
2017-03-02,ITD
2017-03-03,APC
2017-03-03,ITD
2017-03-06,ITD
2017-03-07,ITD
2017-03-07,VNE
2017-03-08,ITD
2017-03-08,VNE
2017-03-09,APC
2017-03-09,ITD
2017-03-10,ITD
2017-03-13,APC
2017-03-13,ITD
2017-03-14,APC
2017-03-15,APC
2017-03-21,APC
2017-03-22,APC
2017-03-23,APC
2017-03-24,APC
2017-03-27,APC
2017-03-28,APC
2017-03-29,APC
2017-03-30,APC
2017-03-31,APC
2017-04-24,STG
2017-04-25,STG
2017-04-25,APC
2017-04-27,QNS
2017-04-28,QNS
2017-05-15,PPC
2017-05-16,PPC
2017-05-17,PPC
2017-05-18,PPC
2017-05-19,PPC
2017-05-24,PPC
2017-05-26,PPC
2017-05-29,PPC
2017-06-01,NVT
2017-06-01,VNG
2017-06-02,NVT
2017-06-02,VNG
2017-06-05,NVT
2017-06-05,VNE
2017-06-06,VNE
2017-06-06,NVT
2017-06-07,NVT
2017-06-07,VNE
2017-06-08,CHP
2017-06-08,NVT
2017-06-08,VNE
2017-06-09,NVT
2017-06-09,VIP
2017-06-09,VNE
2017-06-12,VNE
2017-06-12,VIP
2017-06-12,CHP
2017-06-13,VIP
2017-06-13,VSC
2017-06-13,VNE
2017-06-14,VIP
2017-06-14,VSC
2017-06-15,VSC
2017-06-15,NVT
2017-06-16,HTI
2017-06-16,VSC
2017-06-16,NVT
2017-06-19,HTI
2017-06-19,NVT
2017-06-19,CHP
2017-06-20,HTI
2017-06-20,CHP
2017-06-20,NVT
2017-06-21,PPC
2017-06-21,NVT
2017-06-21,CHP
2017-06-22,NVT
2017-06-22,CHP
2017-06-22,PPC
2017-06-23,CHP
2017-06-23,PPC
2017-06-26,CHP
2017-06-26,PPC
2017-06-26,VNE
2017-06-27,CHP
2017-06-27,HTI
2017-06-28,CHP
2017-06-28,VNG
2017-06-29,CHP
2017-06-29,VNG
2017-06-29,CSV
2017-06-30,CHP
2017-06-30,VNG
2017-06-30,CSV
2017-07-03,CHP
2017-07-03,VNG
2017-07-03,CSV
2017-07-04,CHP
2017-07-05,CHP
2017-07-05,VNG
2017-07-05,NVT
2017-07-06,CHP
2017-07-06,NVT
2017-07-06,VNG
2017-07-07,CHP
2017-07-07,VNG
2017-07-07,NVT
2017-07-10,CHP
2017-07-10,SAB
2017-07-10,NVT
2017-07-11,CHP
2017-07-11,SAB
2017-07-12,CHP
2017-07-12,NVT
2017-07-13,CHP
2017-07-13,NTC
2017-07-13,CSV
2017-07-14,CHP
2017-07-14,NTC
2017-07-17,CHP
2017-07-17,NTC
2017-07-18,CHP
2017-07-18,NTC
2017-07-19,CHP
2017-07-19,NTC
2017-07-19,NVT
2017-07-20,CHP
2017-07-20,NTC
2017-07-20,NVT
2017-07-21,CHP
2017-07-21,NTC
2017-07-21,NVT
2017-07-24,CHP
2017-07-24,NTC
2017-07-24,NHA
2017-07-25,CHP
2017-07-25,NHA
2017-07-25,NTC
2017-07-26,NTC
2017-07-26,CSV
2017-07-26,CHP
2017-07-27,CSV
2017-07-27,NTC
2017-07-27,NHA
2017-07-28,CSV
2017-07-28,NTC
2017-07-28,NHA
2017-07-31,CSV
2017-07-31,NHA
2017-07-31,NTC
2017-08-01,NHA
2017-08-01,DHA
2017-08-01,CSV
2017-08-02,NHA
2017-08-02,DHA
2017-08-02,CSV
2017-08-03,NTC
2017-08-03,DHA
2017-08-03,NHA
2017-08-04,DHA
2017-08-04,CSV
2017-08-04,NTC
2017-08-07,NTC
2017-08-07,CSV
2017-08-07,SBA
2017-08-08,APC
2017-08-08,NTC
2017-08-08,DHA
2017-08-09,APC
2017-08-09,NTC
2017-08-09,PGS
2017-08-10,APC
2017-08-10,NTC
2017-08-11,SBA
2017-08-11,NTC
2017-08-14,NTC
2017-08-14,SBA
2017-08-15,DHA
2017-08-15,NTC
2017-08-15,SBA
2017-08-16,C21
2017-08-16,DHA
2017-08-16,NTC
2017-08-17,NTC
2017-08-17,C21
2017-08-17,DHA
2017-08-18,NTC
2017-08-18,C21
2017-08-18,SBA
2017-08-21,NTC
2017-08-21,C21
2017-08-21,ACV
2017-08-22,NTC
2017-08-22,ACV
2017-08-22,C21
2017-08-23,APC
2017-08-23,NTC
2017-08-23,ACV
2017-08-24,ACV
2017-08-24,NTC
2017-08-24,APC
2017-08-25,NTC
2017-08-25,APC
2017-08-25,C21
2017-08-28,NTC
2017-08-28,APC
2017-08-28,PGS
2017-08-29,APC
2017-08-29,NTC
2017-08-29,PGS
2017-08-30,APC
2017-08-30,NTC
2017-08-30,DHA
2017-08-31,APC
2017-08-31,NTC
2017-08-31,PGS
2017-09-01,NTC
2017-09-01,APC
2017-09-01,PGS
2017-09-05,APC
2017-09-05,NTC
2017-09-05,PGS
2017-09-06,APC
2017-09-06,NTC
2017-09-06,TCD
2017-09-07,NTC
2017-09-07,APC
2017-09-07,TCD
2017-09-08,NTC
2017-09-08,ACV
2017-09-08,APC
2017-09-11,ACV
2017-09-11,PGS
2017-09-11,APC
2017-09-12,ACV
2017-09-12,APC
2017-09-12,PGS
2017-09-13,PGS
2017-09-13,ACV
2017-09-13,BHN
2017-09-14,PGS
2017-09-14,BHN
2017-09-14,APC
2017-09-15,APC
2017-09-15,TCD
2017-09-15,ACV
2017-09-18,APC
2017-09-18,HOT
2017-09-18,PGS
2017-09-19,PGS
2017-09-19,THG
2017-09-19,TCD
2017-09-20,NTC
2017-09-20,PGS
2017-09-20,ACV
2017-09-21,NTC
2017-09-21,BHN
2017-09-21,PGS
2017-09-22,NTC
2017-09-22,PGS
2017-09-22,ACV
2017-09-25,ACV
2017-09-25,NTC
2017-09-25,BHN
2017-09-26,BHN
2017-09-26,NTC
2017-09-26,PGS
2017-09-27,APC
2017-09-27,BHN
2017-09-27,HOT
2017-09-28,BHN
2017-09-28,HOT
2017-09-28,NTC
2017-09-29,HOT
2017-09-29,PGS
2017-09-29,NTC
2017-10-02,APC
2017-10-02,HOT
2017-10-02,NTC
2017-10-03,APC
2017-10-03,HOT
2017-10-03,NTC
2017-10-04,APC
2017-10-04,HOT
2017-10-04,NTC
2017-10-05,HOT
2017-10-05,NTC
2017-10-06,ACV
2017-10-06,HOT
2017-10-06,NTC
2017-10-09,ACV
2017-10-09,HOT
2017-10-09,SBV
2017-10-10,ACV
2017-10-10,PGS
2017-10-10,HOT
2017-10-11,BHN
2017-10-11,PGS
2017-10-11,HOT
2017-10-12,BHN
2017-10-12,PGS
2017-10-12,HOT
2017-10-13,ACV
2017-10-13,BHN
2017-10-13,SBV
2017-10-16,SBV
2017-10-16,NTC
2017-10-16,BHN
2017-10-17,SCS
2017-10-17,NTC
2017-10-17,BHN
2017-10-18,SCS
2017-10-18,NTC
2017-10-18,SBV
2017-10-19,SCS
2017-10-19,APC
2017-10-19,NTC
2017-10-20,APC
2017-10-20,SCS
2017-10-20,SBV
2017-10-23,SCS
2017-10-23,SJD
2017-10-23,SBV
2017-10-24,ACV
2017-10-24,SJD
2017-10-24,SBV
2017-10-25,SJD
2017-10-25,BHN
2017-10-25,SAB
2017-10-26,SJD
2017-10-26,SBV
2017-10-26,BHN
2017-10-27,ACV
2017-10-27,SJD
2017-10-27,BHN
2017-10-30,ACV
2017-10-30,SBV
2017-10-30,BHN
2017-10-31,ACV
2017-10-31,NCT
2017-10-31,VNG
2017-11-01,ACV
2017-11-01,TV2
2017-11-01,NCT
2017-11-02,TV2
2017-11-02,ACV
2017-11-02,NCT
2017-11-03,ACV
2017-11-03,TV2
2017-11-03,CMG
2017-11-06,ACV
2017-11-06,CMG
2017-11-06,NCT
2017-11-07,CMG
2017-11-07,TV2
2017-11-07,NCT
2017-11-08,ACV
2017-11-08,NCT
2017-11-08,TV2
2017-11-09,ACV
2017-11-09,TV2
2017-11-09,CHP
2017-11-10,ACV
2017-11-10,TV2
2017-11-10,CHP
2017-11-13,CMG
2017-11-13,BHN
2017-11-13,CHP
2017-11-14,DS3
2017-11-14,CHP
2017-11-15,CHP
2017-11-15,DS3
2017-11-16,CHP
2017-11-16,BHN
2017-11-17,CHP
2017-11-20,CMG
2017-11-20,NCT
2017-11-22,MCH
2017-11-23,BHN
2017-11-23,NTC
2017-11-24,NCT
2017-11-24,BHN
2017-11-24,NTC
2017-11-27,NCT
2017-11-27,BHN
2017-11-27,NTC
2017-11-28,NCT
2017-11-28,BHN
2017-11-28,MCH
2017-11-29,BHN
2017-11-29,NTC
2017-11-29,NCT
2017-11-30,BHN
2017-11-30,NTC
2017-11-30,NCT
2017-12-01,BHN
2017-12-01,MCH
2017-12-01,NTC
2017-12-04,MCH
2017-12-04,NTC
2017-12-04,BHN
2017-12-05,NCT
2017-12-05,BHN
2017-12-05,MCH
2017-12-06,NCT
2017-12-06,MCH
2017-12-06,VIP
2017-12-07,MCH
2017-12-07,NCT
2017-12-07,NTC
2017-12-08,MCH
2017-12-08,NCT
2017-12-08,NTC
2017-12-11,MCH
2017-12-11,NCT
2017-12-11,NTC
2017-12-12,MCH
2017-12-12,NCT
2017-12-12,MAS
2017-12-13,MCH
2017-12-13,NCT
2017-12-13,NTC
2017-12-14,NCT
2017-12-14,NTC
2017-12-14,CSV
2017-12-15,NCT
2017-12-15,NTC
2017-12-15,CSV
2017-12-18,NCT
2017-12-18,CSV
2017-12-18,VIP
2017-12-19,MCH
2017-12-19,NCT
2017-12-19,CSV
2017-12-20,NCT
2017-12-20,VIP
2017-12-20,CSV
2017-12-21,MCH
2017-12-21,NCT
2017-12-21,VIP
2017-12-22,MCH
2017-12-22,NCT
2017-12-22,SBA
2017-12-25,MCH
2017-12-25,APC
2017-12-25,NCT
2017-12-26,MCH
2017-12-26,VTO
2017-12-26,APC
2017-12-27,MCH
2017-12-27,APC
2017-12-27,NCT
2017-12-28,VTO
2017-12-28,APC
2017-12-28,NCT
2017-12-29,NCT
2017-12-29,VIP
2017-12-29,VTO
2018-01-02,NCT
2018-01-02,VTO
2018-01-02,APC
2018-01-03,NTC
2018-01-03,NCT
2018-01-03,MCH
2018-01-04,NTC
2018-01-04,MCH
2018-01-04,NCT
