date,tickersymbol
2019-01-08,VNG
2019-01-10,VNG
2019-01-14,ACV
2019-01-16,VNG
2019-01-18,VNG
2019-01-21,VNG
2019-01-22,VNG
2019-01-23,VNG
2019-01-24,VNG
2019-01-25,VNG
2019-01-28,VNG
2019-01-29,VNG
2019-01-30,VNG
2019-01-31,VNG
2019-02-01,VNG
2019-02-11,VNG
2019-02-12,VNG
2019-02-13,VNG
2019-02-14,VNG
2019-02-15,NTC
2019-02-18,NTC
2019-02-19,NTC
2019-02-20,VNG
2019-02-20,PPC
2019-02-20,NTC
2019-02-21,VNG
2019-02-21,NTC
2019-02-22,NTC
2019-02-22,VNG
2019-02-25,VNG
2019-02-26,VNG
2019-02-27,VNG
2019-02-28,VNG
2019-03-01,VNG
2019-03-04,VNG
2019-03-05,VNG
2019-03-06,VNG
2019-03-07,VNG
2019-03-07,PVT
2019-03-08,VNG
2019-03-11,VNG
2019-03-15,VNG
2019-03-19,PVT
2019-03-20,VNG
2019-04-02,DPG
2019-04-03,DPG
2019-04-04,VNG
2019-04-05,VNG
2019-04-05,DPG
2019-04-08,VNG
2019-04-08,DPG
2019-04-09,NTC
2019-04-09,VNG
2019-04-09,DPG
2019-04-10,NTC
2019-04-11,NTC
2019-04-24,TDM
2019-04-25,TDM
2019-04-26,TDM
2019-05-21,NTC
2019-05-22,NTC
2019-05-23,NTC
2019-05-24,NTC
2019-05-27,NTC
2019-05-28,NTC
2019-06-11,SAB
2019-06-12,SAB
2019-06-17,SAB
2019-06-18,SAB
2019-06-19,SAB
2019-06-20,SAB
2019-06-21,SAB
2019-06-24,SAB
2019-06-25,SAB
2019-06-26,SAB
2019-06-27,SAB
2019-07-02,SAB
2019-07-03,NTC
2019-07-04,NTC
2019-07-05,NTC
2019-07-08,NTC
2019-07-09,NTC
2019-07-10,NTC
2019-07-11,NTC
2019-07-12,NTC
2019-07-15,NTC
2019-07-16,NTC
2019-07-17,NTC
2019-07-18,NTC
2019-07-18,SAB
2019-07-19,SAB
2019-07-24,SZC
2019-07-25,SZC
2019-07-26,SZC
2019-07-26,SAB
2019-07-29,SZC
2019-07-30,SZC
2019-07-31,GEG
2019-07-31,SZC
2019-07-31,SAB
2019-08-01,SZC
2019-08-02,SZC
2019-08-05,SZC
2019-08-06,SZC
2019-08-07,SZC
2019-08-08,SZC
2019-08-28,HAH
2019-08-29,HAH
2019-08-30,HAH
2019-09-03,HAH
2019-09-04,HAH
2019-09-05,HAH
2019-09-06,HAH
2019-09-09,HAH
2019-09-10,HAH
2019-11-06,GTN
2019-11-07,GTN
2019-11-08,GTN
