date,tickersymbol
2019-01-14,ACV
2019-02-15,NTC
2019-03-07,PVT
2019-04-02,DPG
2019-04-03,DPG
2019-04-08,DPG
2019-04-09,DPG
2019-04-26,TDM
2019-07-24,SZC
2019-07-25,SZC
2019-07-26,SZC
2019-07-31,GEG
2019-08-28,HAH
2019-08-29,HAH
2020-05-13,LIX
2020-07-07,DGC
2020-08-06,VSC
2020-08-07,VSC
2020-08-14,GIL
2020-08-24,BMP
2020-08-25,BMP
2020-08-26,BMP
2020-08-27,BMP
2020-10-02,VSC
2020-10-05,VSC
2020-10-06,VSC
2020-10-06,C32
2020-11-04,VSC
2020-11-05,VSC
2020-11-30,TDM
2020-12-04,HAH
2020-12-07,HAH
2020-12-16,DXP
2020-12-17,DXP
2020-12-18,DXP
2020-12-21,DXP
2020-12-22,DXP
2021-01-19,DRI
2021-01-21,PVP
2021-02-02,GKM
2021-05-14,NAF
2021-05-17,NAF
2021-05-31,DRI
2021-06-04,NTP
2021-06-07,NTP
2021-06-18,SGP
2021-06-21,SGP
2021-06-22,SGP
2021-06-23,SGP
2021-08-12,HT1
2021-08-13,BCC
2021-08-13,CMG
2021-08-16,BCC
2021-08-16,CMG
2021-08-27,SWC
2021-09-10,DHA
2021-09-15,SWC
2021-09-27,CMG
2021-09-28,CMG
2021-09-29,CMG
2021-10-06,CLX
2021-10-07,CLX
2021-10-08,CLX
2021-10-20,PGC
2021-10-21,DHA
2021-10-21,PGC
2021-10-22,SJD
2021-10-22,DHA
2021-10-25,SJD
2021-10-25,DHA
2021-10-28,DHA
2021-11-10,DHA
2021-12-09,MSH
