date,tickersymbol
2017-01-03,VNE
2017-01-03,PPC
2017-01-04,PPC
2017-01-04,VNE
2017-01-04,HCD
2017-01-05,PPC
2017-01-05,VNE
2017-01-06,KDM
2017-01-06,PPC
2017-01-06,VNE
2017-01-09,KDM
2017-01-09,DCL
2017-01-09,VNE
2017-01-10,KDM
2017-01-10,DCL
2017-01-10,VNE
2017-01-11,KDM
2017-01-11,VNE
2017-01-11,DCL
2017-01-12,VNE
2017-01-12,PPC
2017-01-13,VNE
2017-01-13,DCL
2017-01-13,HCD
2017-01-16,VNE
2017-01-16,HCD
2017-01-16,DCL
2017-01-17,VNE
2017-01-17,HCD
2017-01-18,VNE
2017-01-18,HCD
2017-01-18,TTB
2017-01-19,VNE
2017-01-19,TTB
2017-01-19,HCD
2017-01-20,TTB
2017-01-20,VNE
2017-01-20,HCD
2017-01-23,TTB
2017-01-23,VNE
2017-01-23,HCD
2017-01-24,HCD
2017-01-24,VNE
2017-01-24,PIV
2017-01-25,VNE
2017-01-25,HCD
2017-01-25,TTB
2017-02-02,VNE
2017-02-02,HCD
2017-02-02,LDG
2017-02-03,HCD
2017-02-03,LDG
2017-02-03,VNE
2017-02-06,HCD
2017-02-06,PIV
2017-02-06,LDG
2017-02-07,HCD
2017-02-07,PIV
2017-02-07,VNE
2017-02-08,PIV
2017-02-08,HCD
2017-02-08,CTP
2017-02-09,PIV
2017-02-09,HCD
2017-02-09,LDG
2017-02-10,HCD
2017-02-10,LDG
2017-02-10,CTP
2017-02-13,LDG
2017-02-13,HCD
2017-02-13,PIV
2017-02-14,HCD
2017-02-14,LDG
2017-02-14,PIV
2017-02-15,VNE
2017-02-15,LDG
2017-02-15,PIV
2017-02-16,PIV
2017-02-16,HCD
2017-02-16,DCL
2017-02-17,HCD
2017-02-17,IBC
2017-02-17,HKB
2017-02-20,HCD
2017-02-20,HKB
2017-02-20,IBC
2017-02-21,IBC
2017-02-21,ITD
2017-02-21,KDH
2017-02-22,HCD
2017-02-22,IBC
2017-02-22,ITD
2017-02-23,IBC
2017-02-23,TDH
2017-02-23,ITD
2017-02-24,IBC
2017-02-24,TDH
2017-02-24,ITD
2017-02-27,ITD
2017-02-27,PIV
2017-02-27,KDH
2017-02-28,ITD
2017-02-28,PIV
2017-02-28,KDH
2017-03-01,ITD
2017-03-01,PIV
2017-03-01,CTP
2017-03-02,IBC
2017-03-02,ITD
2017-03-02,KDH
2017-03-03,IBC
2017-03-03,V21
2017-03-03,APC
2017-03-06,V21
2017-03-06,ITD
2017-03-06,PIV
2017-03-07,ITD
2017-03-07,SVN
2017-03-07,VNE
2017-03-08,SVN
2017-03-08,ITD
2017-03-08,SLS
2017-03-09,APC
2017-03-09,SLS
2017-03-09,VEF
2017-03-10,SLS
2017-03-10,V21
2017-03-10,VEF
2017-03-13,APC
2017-03-13,VEF
2017-03-13,NLG
2017-03-14,VEF
2017-03-14,SLS
2017-03-14,CTP
2017-03-15,IBC
2017-03-15,SLS
2017-03-15,V21
2017-03-16,VEF
2017-03-16,IBC
2017-03-16,V21
2017-03-17,IBC
2017-03-17,V21
2017-03-17,SZL
2017-03-20,HAR
2017-03-20,IBC
2017-03-20,V21
2017-03-21,HAR
2017-03-21,IBC
2017-03-21,SWC
2017-03-22,NTC
2017-03-22,HAR
2017-03-22,V21
2017-03-23,CTP
2017-03-23,HAR
2017-03-23,IBC
2017-03-24,SWC
2017-03-24,IBC
2017-03-24,SVN
2017-03-27,CTP
2017-03-27,LDG
2017-03-27,SWC
2017-03-28,IBC
2017-03-28,DMC
2017-03-28,IDI
2017-03-29,LDG
2017-03-29,HAR
2017-03-29,IDI
2017-03-30,HAR
2017-03-30,LDG
2017-03-30,IDV
2017-03-31,IBC
2017-03-31,HAR
2017-03-31,IMP
2017-04-03,IBC
2017-04-03,IMP
2017-04-03,HAR
2017-04-04,IBC
2017-04-04,HAR
2017-04-04,LDG
2017-04-05,TTH
2017-04-05,IBC
2017-04-05,HAR
2017-04-07,IBC
2017-04-07,HAR
2017-04-07,IMP
2017-04-10,KDH
2017-04-10,PPI
2017-04-10,HAR
2017-04-11,KDH
2017-04-11,TTH
2017-04-11,HAR
2017-04-12,KDH
2017-04-12,PPI
2017-04-12,IMP
2017-04-13,IBC
2017-04-13,SWC
2017-04-13,PPI
2017-04-14,IBC
2017-04-14,PPI
2017-04-14,TTH
2017-04-17,KDH
2017-04-17,IBC
2017-04-17,HAR
2017-04-18,KDH
2017-04-18,IBC
2017-04-18,HAR
2017-04-19,KDH
2017-04-19,IBC
2017-04-19,HAR
2017-04-20,IBC
2017-04-20,CSV
2017-04-20,VRC
2017-04-21,KDH
2017-04-21,IBC
2017-04-21,HAR
2017-04-24,KDH
2017-04-24,HAR
2017-04-24,STG
2017-04-25,KDH
2017-04-25,SWC
2017-04-25,HAR
2017-04-26,KDH
2017-04-26,PGD
2017-04-26,HAR
2017-04-27,KDH
2017-04-27,PGD
2017-04-27,HAR
2017-04-28,HAR
2017-04-28,KDH
2017-04-28,PGD
2017-05-03,KDH
2017-05-03,HAR
2017-05-03,BCG
2017-05-04,BCG
2017-05-04,KDH
2017-05-04,PGD
2017-05-05,KDH
2017-05-05,PGD
2017-05-05,BCG
2017-05-08,BCG
2017-05-08,KDH
2017-05-08,PGD
2017-05-09,TSC
2017-05-09,VRC
2017-05-09,HAR
2017-05-10,HAR
2017-05-10,VRC
2017-05-10,IDI
2017-05-11,TSC
2017-05-11,PGD
2017-05-11,NDN
2017-05-12,HAR
2017-05-12,PGD
2017-05-12,QBS
2017-05-15,IDI
2017-05-15,BCG
2017-05-15,PPC
2017-05-16,BCG
2017-05-16,QBS
2017-05-16,PPC
2017-05-17,PPC
2017-05-17,BCG
2017-05-17,VSH
2017-05-18,PPC
2017-05-18,HAR
2017-05-18,QBS
