date,tickersymbol
2017-01-03,VNE
2017-01-03,PPC
2017-01-04,VIS
2017-01-04,PPC
2017-01-04,VNE
2017-01-05,VIS
2017-01-05,PPC
2017-01-05,VNE
2017-01-06,PPC
2017-01-06,VIS
2017-01-06,VNE
2017-01-09,VIS
2017-01-09,VNE
2017-01-10,VIS
2017-01-10,VNE
2017-01-11,VIS
2017-01-11,VNE
2017-01-12,VIS
2017-01-12,VNE
2017-01-12,PPC
2017-01-13,VIS
2017-01-13,VNE
2017-01-13,HCD
2017-01-16,VNE
2017-01-16,HCD
2017-01-16,GMD
2017-01-17,VNE
2017-01-17,HCD
2017-01-18,VNE
2017-01-18,HCD
2017-01-19,VNE
2017-01-19,HCD
2017-01-19,PPC
2017-01-20,VNE
2017-01-20,HCD
2017-01-20,PIV
2017-01-23,VNE
2017-01-23,HCD
2017-01-23,PIV
2017-01-24,HCD
2017-01-24,VNE
2017-01-24,PIV
2017-01-25,VNE
2017-01-25,HCD
2017-01-25,PIV
2017-02-02,VNE
2017-02-02,HCD
2017-02-02,PIV
2017-02-03,HCD
2017-02-03,VNE
2017-02-03,PIV
2017-02-06,VIS
2017-02-06,HCD
2017-02-06,PIV
2017-02-07,HCD
2017-02-07,PIV
2017-02-07,VNE
2017-02-08,VIS
2017-02-08,PIV
2017-02-08,HCD
2017-02-09,VIS
2017-02-09,PIV
2017-02-09,HCD
2017-02-10,VIS
2017-02-10,HCD
2017-02-10,PIV
2017-02-13,VIS
2017-02-13,HCD
2017-02-13,PIV
2017-02-14,HCD
2017-02-14,VIS
2017-02-14,PIV
2017-02-15,VNE
2017-02-15,VIS
2017-02-15,PIV
2017-02-16,VIS
2017-02-16,PIV
2017-02-16,HCD
2017-02-17,HCD
2017-02-17,HKB
2017-02-17,PIV
2017-02-20,HCD
2017-02-20,HKB
2017-02-20,PTB
2017-02-21,ITD
2017-02-21,VIS
2017-02-21,DPR
2017-02-22,HCD
2017-02-22,ITD
2017-02-22,DPR
2017-02-23,ITD
2017-02-23,HCD
2017-02-23,PGS
2017-02-24,ITD
2017-02-24,HCD
2017-02-24,FMC
2017-02-27,PGS
2017-02-27,ITD
2017-02-27,PIV
2017-02-28,ITD
2017-02-28,PIV
2017-02-28,VIS
2017-03-01,ITD
2017-03-01,PIV
2017-03-01,HCD
2017-03-02,ITD
2017-03-02,VIS
2017-03-02,KKC
2017-03-03,VIS
2017-03-03,APC
2017-03-03,ITD
2017-03-06,VIS
2017-03-06,SVC
2017-03-06,ITD
2017-03-07,VIS
2017-03-07,ITD
2017-03-07,VNE
2017-03-08,VIS
2017-03-08,ITD
2017-03-08,SVC
2017-03-09,APC
2017-03-09,SVC
2017-03-09,DPR
2017-03-10,VIS
2017-03-10,SVC
2017-03-10,ITD
2017-03-13,APC
2017-03-13,VIS
2017-03-13,SVC
2017-03-14,SVC
2017-03-14,VIS
2017-03-14,QBS
2017-03-15,SVC
2017-03-15,VIS
2017-03-15,QBS
2017-03-16,VIS
2017-03-16,QBS
2017-03-16,CAV
2017-03-17,VIS
2017-03-17,HT1
2017-03-17,CAV
2017-03-20,CAV
2017-03-20,VIS
2017-03-20,HT1
2017-03-21,CAV
2017-03-21,SWC
2017-03-21,VIS
2017-03-22,VIS
2017-03-22,APC
2017-03-22,CAV
2017-03-23,VIS
2017-03-23,CAV
2017-03-23,APC
2017-03-24,SWC
2017-03-24,VIS
2017-03-24,PIV
2017-03-27,VIS
2017-03-27,SWC
2017-03-27,IDI
2017-03-28,IDI
2017-03-28,VIS
2017-03-28,APC
2017-03-29,IDI
2017-03-29,VIS
2017-03-29,APC
2017-03-30,VIS
2017-03-30,CAV
2017-03-30,IDI
2017-03-31,VIS
2017-03-31,CAV
2017-03-31,IDI
2017-04-03,VIS
2017-04-03,IDI
2017-04-03,CAV
2017-04-04,VIS
2017-04-04,PVI
2017-04-04,IDI
2017-04-05,SWC
2017-04-05,VIS
2017-04-05,IDI
2017-04-07,SWC
2017-04-07,VIS
2017-04-07,IDI
2017-04-10,VIS
2017-04-10,SWC
2017-04-10,IDI
2017-04-11,SWC
2017-04-11,VIS
2017-04-11,IDI
2017-04-12,SWC
2017-04-12,VIS
2017-04-12,PVI
2017-04-13,SWC
2017-04-13,VGS
2017-04-13,VIS
2017-04-14,DHM
2017-04-14,SWC
2017-04-17,DHM
2017-04-17,SWC
2017-04-17,VRC
2017-04-19,VRC
2017-04-20,DHM
2017-04-20,VRC
2017-04-20,HAX
2017-04-21,DHM
2017-04-21,HAX
2017-04-21,SWC
2017-04-24,DHM
2017-04-24,HAX
2017-04-24,STG
2017-04-25,SWC
2017-04-25,PGD
2017-04-25,VRC
2017-04-26,PGD
2017-04-26,PVI
2017-04-26,VRC
2017-04-27,PGD
2017-04-27,PVI
2017-04-27,VRC
2017-04-28,PGD
2017-04-28,VRC
2017-04-28,PVI
2017-05-03,HAR
2017-05-03,BCG
2017-05-03,PGD
2017-05-04,BCG
2017-05-04,PGD
2017-05-04,HAR
2017-05-05,PGD
2017-05-05,BCG
2017-05-05,HAR
2017-05-08,BCG
2017-05-08,PGD
2017-05-08,HAR
2017-05-09,TSC
2017-05-09,HAR
2017-05-09,PGD
2017-05-10,HAR
2017-05-10,IDI
2017-05-10,TSC
2017-05-11,TSC
2017-05-11,HAX
2017-05-11,PGD
2017-05-12,HAR
2017-05-12,PGD
2017-05-12,QBS
2017-05-15,IDI
2017-05-15,BCG
2017-05-15,PPC
2017-05-16,BCG
2017-05-16,QBS
2017-05-16,PPC
2017-05-17,PPC
2017-05-17,BCG
2017-05-17,HAX
2017-05-18,PPC
2017-05-18,HAR
2017-05-18,QBS
2017-05-19,QBS
2017-05-19,PGD
2017-05-19,PPC
2017-05-22,PGD
2017-05-22,HAR
2017-05-22,HAX
2017-05-23,PGD
2017-05-23,HAX
